,comment_text,identity_attack_x,bias,target,category,rationale,labels,probabilities
0,Like I said I cant stand the guy and dont watch his show.  Most of the local braddahs that tease me for being white come off misogynist also.  Watcha gonna do...?,0.6,bias,"whites,men","race,gender",prejudice against white men,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment']","[{'contradiction': 61.2, 'neutral': 34.8, 'entailment': 4.0}, {'contradiction': 90.8, 'neutral': 8.8, 'entailment': 0.4}, {'contradiction': 66.1, 'neutral': 22.8, 'entailment': 11.1}, {'contradiction': 1.6, 'neutral': 88.8, 'entailment': 9.6}, {'contradiction': 9.3, 'neutral': 32.7, 'entailment': 58.0}, {'contradiction': 34.2, 'neutral': 37.9, 'entailment': 28.0}, {'contradiction': 27.0, 'neutral': 71.8, 'entailment': 1.2}, {'contradiction': 15.5, 'neutral': 59.6, 'entailment': 24.9}, {'contradiction': 92.9, 'neutral': 6.5, 'entailment': 0.6}, {'contradiction': 86.9, 'neutral': 12.6, 'entailment': 0.5}, {'contradiction': 1.8, 'neutral': 9.4, 'entailment': 88.8}, {'contradiction': 28.5, 'neutral': 50.9, 'entailment': 20.6}, {'contradiction': 22.4, 'neutral': 37.6, 'entailment': 40.0}, {'contradiction': 6.1, 'neutral': 14.5, 'entailment': 79.4}, {'contradiction': 1.8, 'neutral': 8.5, 'entailment': 89.7}]"
1,Those women are idiots.  Trump won the election and became the president in USA. This is democracy one part win other part lost. Simple theory. One million women cant understand this theory.  Media reporters are insane. They publish this type of garbage material  in their media.  Why these women march against  women slavery in Asia Africa Mideast..countries ?,0.514285714,bias,women,gender,prejudice against women,"['entailment', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral', 'entailment', 'contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment']","[{'contradiction': 17.2, 'neutral': 17.3, 'entailment': 65.5}, {'contradiction': 77.9, 'neutral': 18.5, 'entailment': 3.5}, {'contradiction': 65.1, 'neutral': 23.4, 'entailment': 11.5}, {'contradiction': 79.9, 'neutral': 16.4, 'entailment': 3.7}, {'contradiction': 38.1, 'neutral': 35.6, 'entailment': 26.3}, {'contradiction': 34.0, 'neutral': 36.0, 'entailment': 29.9}, {'contradiction': 7.4, 'neutral': 87.8, 'entailment': 4.8}, {'contradiction': 7.3, 'neutral': 40.5, 'entailment': 52.2}, {'contradiction': 85.7, 'neutral': 11.2, 'entailment': 3.1}, {'contradiction': 97.5, 'neutral': 2.2, 'entailment': 0.3}, {'contradiction': 3.1, 'neutral': 9.5, 'entailment': 87.4}, {'contradiction': 39.5, 'neutral': 53.0, 'entailment': 7.5}, {'contradiction': 24.1, 'neutral': 23.7, 'entailment': 52.2}, {'contradiction': 21.0, 'neutral': 33.6, 'entailment': 45.4}, {'contradiction': 4.6, 'neutral': 10.2, 'entailment': 85.2}]"
2,Its was the decision of the Obama administration in 2016 to abandon White people in favor of groups. And that decision has bitten the Democrats in the back side. And yes White men do need protection because White men are the ONLY non protected group in the country.,0.6,bias,"whites,men,democrats","race,gender,political",prejudice against white men and democrats,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'contradiction', 'entailment']","[{'contradiction': 97.2, 'neutral': 2.1, 'entailment': 0.7}, {'contradiction': 84.7, 'neutral': 11.9, 'entailment': 3.5}, {'contradiction': 55.2, 'neutral': 21.4, 'entailment': 23.4}, {'contradiction': 32.7, 'neutral': 57.1, 'entailment': 10.2}, {'contradiction': 76.9, 'neutral': 12.4, 'entailment': 10.7}, {'contradiction': 55.0, 'neutral': 15.3, 'entailment': 29.7}, {'contradiction': 89.7, 'neutral': 8.6, 'entailment': 1.6}, {'contradiction': 33.6, 'neutral': 39.6, 'entailment': 26.8}, {'contradiction': 96.9, 'neutral': 2.6, 'entailment': 0.6}, {'contradiction': 99.4, 'neutral': 0.6, 'entailment': 0.1}, {'contradiction': 6.5, 'neutral': 9.7, 'entailment': 83.8}, {'contradiction': 39.0, 'neutral': 59.1, 'entailment': 1.9}, {'contradiction': 20.5, 'neutral': 9.7, 'entailment': 69.8}, {'contradiction': 78.1, 'neutral': 12.7, 'entailment': 9.2}, {'contradiction': 9.1, 'neutral': 16.8, 'entailment': 74.2}]"
3,Black males are 80 times more likely to be shot by other black males than by a cop of any colour.  Experience teaches us many things but you dont want the police to learn anything from what they  experience daily .,0.5,bias,"blacks,men","race,gender",prejudice against black men,"['contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'contradiction']","[{'contradiction': 98.2, 'neutral': 1.5, 'entailment': 0.4}, {'contradiction': 91.9, 'neutral': 6.8, 'entailment': 1.3}, {'contradiction': 32.6, 'neutral': 15.8, 'entailment': 51.6}, {'contradiction': 91.0, 'neutral': 7.4, 'entailment': 1.6}, {'contradiction': 80.7, 'neutral': 10.2, 'entailment': 9.1}, {'contradiction': 97.6, 'neutral': 2.2, 'entailment': 0.2}, {'contradiction': 85.2, 'neutral': 13.6, 'entailment': 1.2}, {'contradiction': 58.1, 'neutral': 32.7, 'entailment': 9.2}, {'contradiction': 95.6, 'neutral': 4.1, 'entailment': 0.4}, {'contradiction': 98.0, 'neutral': 1.9, 'entailment': 0.1}, {'contradiction': 25.8, 'neutral': 6.3, 'entailment': 67.8}, {'contradiction': 86.2, 'neutral': 13.7, 'entailment': 0.2}, {'contradiction': 91.5, 'neutral': 3.9, 'entailment': 4.6}, {'contradiction': 92.9, 'neutral': 5.4, 'entailment': 1.7}, {'contradiction': 54.7, 'neutral': 20.1, 'entailment': 25.2}]"
4,White men are not safer than white women.  They are statistically much more likely to be murdered beaten up commit suicide or killed in a work related accident than white women.  Check your facts.,0.6,bias,"whites,men,women","race,gender",prejudice against white women and towards white men,"['contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'entailment']","[{'contradiction': 80.5, 'neutral': 18.1, 'entailment': 1.4}, {'contradiction': 44.7, 'neutral': 40.4, 'entailment': 14.9}, {'contradiction': 3.7, 'neutral': 12.7, 'entailment': 83.6}, {'contradiction': 20.1, 'neutral': 74.4, 'entailment': 5.5}, {'contradiction': 6.1, 'neutral': 39.3, 'entailment': 54.6}, {'contradiction': 56.3, 'neutral': 35.3, 'entailment': 8.3}, {'contradiction': 77.8, 'neutral': 21.5, 'entailment': 0.6}, {'contradiction': 29.2, 'neutral': 59.8, 'entailment': 11.0}, {'contradiction': 66.9, 'neutral': 26.8, 'entailment': 6.4}, {'contradiction': 96.9, 'neutral': 3.0, 'entailment': 0.2}, {'contradiction': 1.7, 'neutral': 12.2, 'entailment': 86.1}, {'contradiction': 51.1, 'neutral': 45.3, 'entailment': 3.6}, {'contradiction': 63.3, 'neutral': 7.9, 'entailment': 28.8}, {'contradiction': 57.6, 'neutral': 28.6, 'entailment': 13.7}, {'contradiction': 7.6, 'neutral': 41.4, 'entailment': 51.0}]"
5,Dont argue dont fuss if she has to come just get her in and get her out As fast as possible Like her mentally ill Buddha the women and her principles and ideas are absolutely toxic.,0.7,bias,women,gender,prejudice against women,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'neutral', 'entailment']","[{'contradiction': 69.7, 'neutral': 24.8, 'entailment': 5.5}, {'contradiction': 76.5, 'neutral': 20.7, 'entailment': 2.8}, {'contradiction': 55.1, 'neutral': 22.0, 'entailment': 23.0}, {'contradiction': 38.6, 'neutral': 52.4, 'entailment': 9.0}, {'contradiction': 20.3, 'neutral': 45.4, 'entailment': 34.3}, {'contradiction': 60.1, 'neutral': 26.4, 'entailment': 13.5}, {'contradiction': 54.1, 'neutral': 44.4, 'entailment': 1.5}, {'contradiction': 15.9, 'neutral': 26.4, 'entailment': 57.7}, {'contradiction': 93.5, 'neutral': 6.0, 'entailment': 0.5}, {'contradiction': 78.7, 'neutral': 15.1, 'entailment': 6.2}, {'contradiction': 7.5, 'neutral': 23.3, 'entailment': 69.2}, {'contradiction': 80.8, 'neutral': 14.3, 'entailment': 4.9}, {'contradiction': 47.1, 'neutral': 30.7, 'entailment': 22.2}, {'contradiction': 21.3, 'neutral': 42.1, 'entailment': 36.5}, {'contradiction': 2.6, 'neutral': 18.1, 'entailment': 79.3}]"
6,Yep women and blacks just needed a good swat on the rear and life would have been much easier.,0.8,bias,"women,blacks","gender,race",prejudice against women and blacks,"['contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'entailment', 'neutral', 'entailment', 'contradiction', 'contradiction', 'entailment', 'entailment', 'contradiction', 'entailment', 'entailment']","[{'contradiction': 59.0, 'neutral': 32.0, 'entailment': 9.0}, {'contradiction': 75.6, 'neutral': 18.3, 'entailment': 6.1}, {'contradiction': 13.9, 'neutral': 19.2, 'entailment': 66.9}, {'contradiction': 27.2, 'neutral': 51.0, 'entailment': 21.8}, {'contradiction': 12.8, 'neutral': 37.3, 'entailment': 49.9}, {'contradiction': 3.3, 'neutral': 25.1, 'entailment': 71.6}, {'contradiction': 9.8, 'neutral': 89.5, 'entailment': 0.8}, {'contradiction': 4.2, 'neutral': 37.8, 'entailment': 58.0}, {'contradiction': 85.6, 'neutral': 12.0, 'entailment': 2.4}, {'contradiction': 81.8, 'neutral': 12.3, 'entailment': 5.9}, {'contradiction': 1.5, 'neutral': 4.8, 'entailment': 93.7}, {'contradiction': 3.5, 'neutral': 11.3, 'entailment': 85.2}, {'contradiction': 60.6, 'neutral': 14.3, 'entailment': 25.1}, {'contradiction': 9.8, 'neutral': 26.4, 'entailment': 63.8}, {'contradiction': 3.9, 'neutral': 12.9, 'entailment': 83.2}]"
7,Have you ever tried to get into a University with the same GPA as a black gay woman with a limp?,0.684210526,bias,"blacks,gays,women","race,lgbtq,gender","prejudice against blacks,gays and women","['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'entailment', 'neutral', 'contradiction', 'contradiction', 'contradiction']","[{'contradiction': 70.5, 'neutral': 24.9, 'entailment': 4.6}, {'contradiction': 98.0, 'neutral': 1.7, 'entailment': 0.2}, {'contradiction': 96.1, 'neutral': 3.0, 'entailment': 0.9}, {'contradiction': 91.9, 'neutral': 7.7, 'entailment': 0.4}, {'contradiction': 81.9, 'neutral': 16.5, 'entailment': 1.6}, {'contradiction': 47.5, 'neutral': 39.4, 'entailment': 13.1}, {'contradiction': 78.2, 'neutral': 20.6, 'entailment': 1.2}, {'contradiction': 4.7, 'neutral': 17.7, 'entailment': 77.6}, {'contradiction': 76.4, 'neutral': 17.8, 'entailment': 5.9}, {'contradiction': 99.0, 'neutral': 0.9, 'entailment': 0.1}, {'contradiction': 14.7, 'neutral': 11.6, 'entailment': 73.7}, {'contradiction': 46.1, 'neutral': 52.7, 'entailment': 1.2}, {'contradiction': 75.9, 'neutral': 13.7, 'entailment': 10.5}, {'contradiction': 87.4, 'neutral': 10.1, 'entailment': 2.5}, {'contradiction': 38.3, 'neutral': 37.7, 'entailment': 24.0}]"
8,and where did the father go? Im willing to bet he flew the koop like many black men in his situation,0.6,bias,"blacks,men","race,gender",prejudice against black men,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'entailment', 'contradiction', 'contradiction']","[{'contradiction': 83.0, 'neutral': 14.9, 'entailment': 2.2}, {'contradiction': 81.6, 'neutral': 15.0, 'entailment': 3.3}, {'contradiction': 50.7, 'neutral': 19.4, 'entailment': 29.9}, {'contradiction': 80.7, 'neutral': 18.2, 'entailment': 1.0}, {'contradiction': 45.5, 'neutral': 35.3, 'entailment': 19.2}, {'contradiction': 12.3, 'neutral': 19.2, 'entailment': 68.5}, {'contradiction': 96.1, 'neutral': 3.8, 'entailment': 0.1}, {'contradiction': 55.4, 'neutral': 24.3, 'entailment': 20.4}, {'contradiction': 97.3, 'neutral': 2.4, 'entailment': 0.3}, {'contradiction': 99.7, 'neutral': 0.3, 'entailment': 0.0}, {'contradiction': 3.5, 'neutral': 4.8, 'entailment': 91.8}, {'contradiction': 68.2, 'neutral': 25.8, 'entailment': 6.0}, {'contradiction': 16.4, 'neutral': 37.4, 'entailment': 46.2}, {'contradiction': 62.0, 'neutral': 24.5, 'entailment': 13.5}, {'contradiction': 53.3, 'neutral': 28.3, 'entailment': 18.4}]"
9,When all else fails blame white males,0.9,bias,"whites, men","race,gender","prejudice against whites, men","['contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction', 'entailment', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'entailment', 'entailment', 'entailment', 'entailment', 'entailment']","[{'contradiction': 51.9, 'neutral': 38.8, 'entailment': 9.3}, {'contradiction': 46.2, 'neutral': 36.5, 'entailment': 17.3}, {'contradiction': 21.4, 'neutral': 52.2, 'entailment': 26.4}, {'contradiction': 33.1, 'neutral': 64.0, 'entailment': 2.8}, {'contradiction': 46.4, 'neutral': 35.1, 'entailment': 18.5}, {'contradiction': 0.7, 'neutral': 1.2, 'entailment': 98.1}, {'contradiction': 95.1, 'neutral': 4.9, 'entailment': 0.0}, {'contradiction': 2.3, 'neutral': 13.4, 'entailment': 84.3}, {'contradiction': 67.1, 'neutral': 12.9, 'entailment': 20.1}, {'contradiction': 98.1, 'neutral': 1.8, 'entailment': 0.1}, {'contradiction': 2.0, 'neutral': 8.7, 'entailment': 89.3}, {'contradiction': 2.3, 'neutral': 3.4, 'entailment': 94.3}, {'contradiction': 27.9, 'neutral': 22.6, 'entailment': 49.5}, {'contradiction': 35.9, 'neutral': 26.0, 'entailment': 38.0}, {'contradiction': 9.7, 'neutral': 17.0, 'entailment': 73.3}]"
