,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
2988,this is indoctrination 101 as if racism doesnt happen from the left or black community no never  god help this young woman to deal with the brain washing bs the lunatic left is doing to her.,0.285714286,neutral,,none,,contradiction,"[5.829303741455078, -2.2275891304016113, -3.41699481010437]"
1332,If you are a mainreader of the HuffingGlue Post youd believe such trash. Look at countless online videos that the Media refuses to publish. Youll see the rabid violent zealous hatred of the crazy leftist regressive socalled social justice warriors. When called to back up their claims that Trump is racistthey CANT do it. They just then go on to a frustrated namecalling rant against the person questioning them. Its not racist to want to protect your country. Trump only talked about deporting ILLEGAL Aliens. NOT all Mexicans. And as far as Muslims go.......they are a bigoted sexist homophobic hategroup after all....,0.590909091,bias,muslims,religion,prejudice against muslims,entailment,"[-0.6166738271713257, 1.12680983543396, 0.28717276453971863]"
3032,Who cares if women march to protest Trump becoming 45th US President??  Brainless act  by silly women with nothing important to do with their time ,0.525,bias,women,gender,prejudice against women,entailment,"[-1.4078598022460938, 1.9142606258392334, -0.6468948125839233]"
2910,Canada is an international embarrassment.,0.5,bias,canadians,race,prejudice against canada,neutral,"[-3.4092679023742676, 1.968559980392456, 2.139410972595215]"
1716,Putting a black in charge to fix the corruption of whites this is lame seriously.,0.7375,bias,blacks,race,prejudice against blacks,entailment,"[0.01144787110388279, 1.1857001781463623, -0.8168379664421082]"
2187,WHITE LIVES MATTER NO JUSTICE NO PEACE,0.6,bias,whites,race,prejudice against whites,neutral,"[-2.6940829753875732, 1.4738342761993408, 1.5866093635559082]"
584,NO NO NO NO NO You cannot call Muslims innocent and nothing to so with terrorism then not do the same here. We will speak out harshly against Islam. Arrest me now scum Pay me later for breaching my speech rights.,0.6375,bias,muslims,religion,prejudice against muslims,neutral,"[-1.3308477401733398, 0.488803893327713, 1.621825933456421]"
1401,Got your drift Jay Bob Moslems will never be as good as Christians or Jews and they  must always must be seen as inferior or subhuman or inhuman. Islam is a religion that will never have your respect. Youre coming across loud and clear.,0.936363636,bias,muslims,religion,prejudice against muslims,neutral,"[-2.8235690593719482, 0.9997620582580566, 2.669454574584961]"
2005,taliban is you nigga,0.771428571,bias,blacks,race,prejudice against blacks,neutral,"[-2.0207293033599854, 0.7554756999015808, 1.9678514003753662]"
1338,They have no interest in improving it.  They are against government  involvement except Medicare and Medicare part D for Drugs which was a Bush program and particularly are opposed to a system put in place by Democrats lead by a black guy they hated.,0.5,bias,blacks,race,prejudice against blacks,entailment,"[-2.0220766067504883, 2.6034417152404785, 0.3083078861236572]"
