premise,hypothesis,label
Just another state ruled by Republican heavily governmentsubsidized farmers ranchers oil and gas living on their giant estates voting against all taxation while sucking up the government cash.  Fundamentalist christian theocrats ruling over every city county and state governing system as they ban abortions defund all social programs and maintain the working classes in indentured servitude.  All while proclaiming how friendly they all are except of course if you are nonwhite or refuse to believe.  The state was ruled by Anaconda from its inception and is now ruled by other Corporate dictators owning the majority  of the lands where Republicans reign supreme.  One small area around Missoula is a shrinking bastion of human rights.  The rest of the state is harcore racist bigotted and stupid.  Time for a Revolution to wrest the nation from these Republican fascists.,Members of a political group are taking control.,0.0
Just another state ruled by Republican heavily governmentsubsidized farmers ranchers oil and gas living on their giant estates voting against all taxation while sucking up the government cash.  Fundamentalist christian theocrats ruling over every city county and state governing system as they ban abortions defund all social programs and maintain the working classes in indentured servitude.  All while proclaiming how friendly they all are except of course if you are nonwhite or refuse to believe.  The state was ruled by Anaconda from its inception and is now ruled by other Corporate dictators owning the majority  of the lands where Republicans reign supreme.  One small area around Missoula is a shrinking bastion of human rights.  The rest of the state is harcore racist bigotted and stupid.  Time for a Revolution to wrest the nation from these Republican fascists.,Members of a political group are compared to Nazis.,0.0
Just another state ruled by Republican heavily governmentsubsidized farmers ranchers oil and gas living on their giant estates voting against all taxation while sucking up the government cash.  Fundamentalist christian theocrats ruling over every city county and state governing system as they ban abortions defund all social programs and maintain the working classes in indentured servitude.  All while proclaiming how friendly they all are except of course if you are nonwhite or refuse to believe.  The state was ruled by Anaconda from its inception and is now ruled by other Corporate dictators owning the majority  of the lands where Republicans reign supreme.  One small area around Missoula is a shrinking bastion of human rights.  The rest of the state is harcore racist bigotted and stupid.  Time for a Revolution to wrest the nation from these Republican fascists.,Members of a political group are racist.,0.0
Just another state ruled by Republican heavily governmentsubsidized farmers ranchers oil and gas living on their giant estates voting against all taxation while sucking up the government cash.  Fundamentalist christian theocrats ruling over every city county and state governing system as they ban abortions defund all social programs and maintain the working classes in indentured servitude.  All while proclaiming how friendly they all are except of course if you are nonwhite or refuse to believe.  The state was ruled by Anaconda from its inception and is now ruled by other Corporate dictators owning the majority  of the lands where Republicans reign supreme.  One small area around Missoula is a shrinking bastion of human rights.  The rest of the state is harcore racist bigotted and stupid.  Time for a Revolution to wrest the nation from these Republican fascists.,Members of a political group are lgbtq.,1.0
You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,Members of a political group are compared to Nazis.,0.0
You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,A person belonging to a political group is crazy.,0.0
You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,A person belonging to a political group is stupid.,0.0
You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,Members of a political group are hateful.,1.0
LW1. Im 30 and I dont drink do drugs or fall for the feminist crap that modern women are a part of. I also dont appreciate that you put all young women in this nutty modern woman category.,A person belonging to a political group is stupid.,0.0
LW1. Im 30 and I dont drink do drugs or fall for the feminist crap that modern women are a part of. I also dont appreciate that you put all young women in this nutty modern woman category.,A person belonging to a political group is crazy.,0.0
