,comment_text,identity_attack_x,bias,target,category,rationale,predicted,labels
0,We hear the rhetoric daily. ICISs intent is to bring about Armageddon global war. This is to subjugate the world to ISLAM and eradicate all of the infidels from the planet. This will usher in the Muslim version of the Kingdom of Heaven.  Trump is giving ICIS what they want an excuse to murder.,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 4.4, 'neutral': 93.4, 'entailment': 2.1}"
1,A Muslim from Montreal tried to kill security office in Flint Michigan. Where is that story?,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 11.6, 'neutral': 75.3, 'entailment': 13.1}"
2,Women are such hypocrites. lol,0.701754386,bias,women,gender,prejudice against women,['entailment'],"{'contradiction': 3.4, 'neutral': 31.2, 'entailment': 65.4}"
3,Yep and blacks can seek out another form of public transportation or use Uber.,0.6,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 17.2, 'neutral': 78.8, 'entailment': 4.0}"
4,This family sounds pretty trashy. Dad and grandma have a kid that just comes and goes however he pleases and has some party trailer on the property. Since its the valley I assume theyre all on meth. This is why in some states they have laws that punish parents if the kid misses too many days of school. There is way too much white trash crap in the valley. Is anyone out there normal?,0.542857143,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 3.5, 'neutral': 95.0, 'entailment': 1.5}"
5,Lets have a discussion about black on black violence black drug trade black gangs  killing shooting black criminality hold ups carjackings break ins  vandalism and violent abuses of other races .  Black males in America have a 1300 greater risk of being shot by one of their own than by cops under any situation. Its not much different in Toronto   Lets talk about that too.,0.8,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 1.9, 'neutral': 97.2, 'entailment': 0.8}"
6,The rallies of many types of groups have individuals who try to shout down those with whom they disagree.   BLM has once again raised the question of the way that white society tends to disregard black lives.  This makes many uncomfortable but its an issue that must be raised and addressed if we are ever to live in a just society.,0.5,bias,"blacks,whites",race,prejudice against blacks and whites,['neutral'],"{'contradiction': 1.1, 'neutral': 83.8, 'entailment': 15.1}"
7,Ya its the white guys fault.,0.8,bias,whites,race,prejudice towards whites,['neutral'],"{'contradiction': 6.4, 'neutral': 82.2, 'entailment': 11.4}"
8,Funny I thought the goal of the Catholic church was to get as many illegal aliens into the country as possible because the priest pedophile scandal has left the pews empty. At least thats what Steve Bannon told me...,0.5,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 11.4, 'neutral': 80.6, 'entailment': 8.0}"
9,Whats next is that white guy gonna make those brothers run across fields chasing pig skins while beating each other to a pulp? That old white Texan is just cruel.,0.6,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 1.5, 'neutral': 92.2, 'entailment': 6.3}"
