,Unnamed: 0,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
0,912,Who cares what this Mexican has to say.  Go back to Mexico.,0.685714286,bias,mexicans,race,prejudice against mexicans,contradiction,"[-0.05143623426556587, -0.06435415148735046]"
1,204,There are 50 muslim countries in the world.   Why do muslims come here and impose their ways on honest citizens?  Wouldnt they be happier in a muslim country?  I dont go to Saudi Arabia and start lecturing them with my smug Canadian hypocrisys  would do the muslims feel the need to come here and lecture us?,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[0.09390411525964737, 0.1515749841928482]"
2,2253,Ah but you give the Globe too much credit.  This piece is very much along the lines that the Globe has been publishing of late.  Its a small minority of white women that seem hell bent on social engineering at all costs.  You dont see women doing startups.  Why not?  Too hard.  Theyd rather latch on to a growing established company and climb the corporate ladder.  Reminds of parasites.,0.5,bias,women,gender,prejudice against women,entailment,"[0.019307816401124, 0.11445726454257965]"
3,2006,What a bunch of stereotypes. Youd be yelling racism and bigotry at the equivalent about any nonwhite group.,0.280701754,neutral,,none,,entailment,"[-0.1294223517179489, 0.17103947699069977]"
4,1828,so the black cop who shot this guy was a full fledged member of this nationwide white supremacist assassination force youve mentioned?  reminds me of clayton bigsby.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites,contradiction,"[0.04703814908862114, -0.1412125527858734]"
5,1143,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,entailment,"[-0.17968158423900604, 0.1323254406452179]"
6,839,When the black community accepts the fact they have a problem with their youth solutions can be found.,0.5,bias,blacks,race,prejudice against blacks,contradiction,"[0.0572456419467926, -0.0985645279288292]"
7,712,Nonwhites should be banned also.,0.73015873,bias,colored peaople,race,prejudice against colored people,entailment,"[-0.04430777207016945, 0.08050066977739334]"
8,3456,End white racism and Ill stop talking about it. BTW that is a job for white people. The rest of us just have to survive you.,0.5,bias,whites,race,prejudice against whitess,entailment,"[0.014833077788352966, 0.15285199880599976]"
9,260,Its OK a black man call you a white trash  but if you say they are black you get arrested for being a racist.  They pretend to brush it aside when ISIS killed innocent people and they are OK to let Muslim women wear Burqa on our streets but you wear a Great America hat you are fired. They dont respect democratic vote and pretend to embrace in democracy.  Fck all these liberals idiots they will turn your kids into Muslims one day.,0.685714286,bias,,religion,,contradiction,"[0.0802500769495964, -0.15309031307697296]"
10,244,And for the record Mr. Hanson white Americans drink more alcohol drink alcohol more heavily and take more drugs  both prescription and illegal drugs including illegal prescription drugs  than any other ethnic group.   So you can just stop peddling that racist lie.,0.5,bias,whites,race,prejudice against whites,entailment,"[0.009609395638108253, 0.1109924167394638]"
11,767,I have no issues with these types of individuals. However it is unfair to the genders that were born female. This transgender may be a female now in physical appearance but still maintains the strength of a male through,0.5,bias,transgenders,lgbtq,prejudice against transgenders,contradiction,"[0.07159403711557388, -0.22585931420326233]"
