,comment_text,identity_attack_x,bias,target,category,rationale,labels,probabilities
0,And you are a lesbian.  woo hoo,0.514285714,bias,lesbians,lgbtq,prejudice against lesbians,"['entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 0.1, 'neutral': 8.6, 'entailment': 91.2}, {'contradiction': 4.8, 'neutral': 95.1, 'entailment': 0.0}, {'contradiction': 7.4, 'neutral': 92.6, 'entailment': 0.1}, {'contradiction': 46.7, 'neutral': 52.1, 'entailment': 1.3}, {'contradiction': 0.1, 'neutral': 94.6, 'entailment': 5.3}, {'contradiction': 68.3, 'neutral': 31.5, 'entailment': 0.2}, {'contradiction': 91.6, 'neutral': 8.3, 'entailment': 0.1}, {'contradiction': 0.5, 'neutral': 99.4, 'entailment': 0.1}, {'contradiction': 2.5, 'neutral': 96.6, 'entailment': 0.9}, {'contradiction': 1.8, 'neutral': 96.2, 'entailment': 2.0}, {'contradiction': 15.0, 'neutral': 85.0, 'entailment': 0.0}, {'contradiction': 23.9, 'neutral': 75.7, 'entailment': 0.3}, {'contradiction': 47.4, 'neutral': 52.4, 'entailment': 0.1}, {'contradiction': 97.6, 'neutral': 2.4, 'entailment': 0.0}, {'contradiction': 0.1, 'neutral': 93.0, 'entailment': 6.9}]"
1,Yeesh what is this world coming to.  Oh no someone called me a Canuck the other day my feelings are now hurt I better take time off work and sue someone. My apology would have gone like this:  Im very sorry you are a bunch of queers,0.725298588,bias,queers,lgbtq,prejudice against queers,"['entailment', 'neutral', 'neutral', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'contradiction', 'entailment']","[{'contradiction': 4.7, 'neutral': 25.5, 'entailment': 69.8}, {'contradiction': 3.8, 'neutral': 96.1, 'entailment': 0.1}, {'contradiction': 12.1, 'neutral': 82.0, 'entailment': 5.9}, {'contradiction': 63.8, 'neutral': 33.2, 'entailment': 3.0}, {'contradiction': 0.3, 'neutral': 30.5, 'entailment': 69.3}, {'contradiction': 91.0, 'neutral': 8.6, 'entailment': 0.5}, {'contradiction': 92.0, 'neutral': 7.6, 'entailment': 0.3}, {'contradiction': 19.7, 'neutral': 72.7, 'entailment': 7.6}, {'contradiction': 39.2, 'neutral': 54.7, 'entailment': 6.1}, {'contradiction': 7.9, 'neutral': 45.2, 'entailment': 46.9}, {'contradiction': 38.8, 'neutral': 61.1, 'entailment': 0.1}, {'contradiction': 21.1, 'neutral': 78.1, 'entailment': 0.7}, {'contradiction': 14.3, 'neutral': 77.2, 'entailment': 8.5}, {'contradiction': 63.3, 'neutral': 34.9, 'entailment': 1.8}, {'contradiction': 1.3, 'neutral': 29.8, 'entailment': 68.9}]"
2,I think its interesting that one of these two mainstream women is a transvestite Michael Obama and the other is a confirmed lesbian HilLIARy.,0.5,bias,lesbian,lgbtq,prejudice against lesbians,"['entailment', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 1.2, 'neutral': 9.7, 'entailment': 89.1}, {'contradiction': 4.1, 'neutral': 95.8, 'entailment': 0.1}, {'contradiction': 32.9, 'neutral': 67.0, 'entailment': 0.2}, {'contradiction': 75.1, 'neutral': 24.5, 'entailment': 0.4}, {'contradiction': 0.1, 'neutral': 90.7, 'entailment': 9.2}, {'contradiction': 76.2, 'neutral': 23.6, 'entailment': 0.1}, {'contradiction': 88.0, 'neutral': 11.9, 'entailment': 0.1}, {'contradiction': 3.1, 'neutral': 94.6, 'entailment': 2.3}, {'contradiction': 19.1, 'neutral': 76.5, 'entailment': 4.4}, {'contradiction': 6.5, 'neutral': 90.2, 'entailment': 3.3}, {'contradiction': 26.0, 'neutral': 74.0, 'entailment': 0.0}, {'contradiction': 30.4, 'neutral': 68.6, 'entailment': 1.0}, {'contradiction': 38.2, 'neutral': 61.7, 'entailment': 0.2}, {'contradiction': 97.7, 'neutral': 2.3, 'entailment': 0.0}, {'contradiction': 0.4, 'neutral': 82.4, 'entailment': 17.2}]"
3,SO MUCH WINNING BY NIKKI HALEY  shes going to make a great first woman president sorry Hillary but no one likes you but everyone likes Nikki Haley plus shes way better looking and not a lesbian :o,0.6,bias,lesbians,lgbtq,prejudice against lesbians,"['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 1.9, 'neutral': 65.9, 'entailment': 32.2}, {'contradiction': 3.0, 'neutral': 96.9, 'entailment': 0.1}, {'contradiction': 96.4, 'neutral': 3.6, 'entailment': 0.0}, {'contradiction': 41.2, 'neutral': 58.7, 'entailment': 0.1}, {'contradiction': 0.4, 'neutral': 89.3, 'entailment': 10.3}, {'contradiction': 55.9, 'neutral': 44.0, 'entailment': 0.1}, {'contradiction': 10.4, 'neutral': 89.5, 'entailment': 0.1}, {'contradiction': 10.6, 'neutral': 87.9, 'entailment': 1.5}, {'contradiction': 85.6, 'neutral': 11.3, 'entailment': 3.0}, {'contradiction': 2.2, 'neutral': 96.2, 'entailment': 1.6}, {'contradiction': 50.4, 'neutral': 49.6, 'entailment': 0.1}, {'contradiction': 8.6, 'neutral': 91.2, 'entailment': 0.1}, {'contradiction': 0.6, 'neutral': 99.3, 'entailment': 0.1}, {'contradiction': 92.4, 'neutral': 7.5, 'entailment': 0.1}, {'contradiction': 3.0, 'neutral': 89.2, 'entailment': 7.8}]"
4,Who? Oh yea. The no talent obnoxious gay guy thats famous only for being gay. His 15 seconds of fame are up. Nobody care. Next.   A drunk driver with the name OBrian? No surprise there.,0.742424242,bias,gays,lgbtq,prejudice against gays,"['entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 4.0, 'neutral': 39.0, 'entailment': 57.0}, {'contradiction': 10.3, 'neutral': 89.7, 'entailment': 0.0}, {'contradiction': 29.1, 'neutral': 69.6, 'entailment': 1.3}, {'contradiction': 38.7, 'neutral': 60.9, 'entailment': 0.4}, {'contradiction': 0.4, 'neutral': 94.4, 'entailment': 5.3}, {'contradiction': 89.8, 'neutral': 10.1, 'entailment': 0.1}, {'contradiction': 92.7, 'neutral': 7.2, 'entailment': 0.1}, {'contradiction': 5.5, 'neutral': 77.6, 'entailment': 16.9}, {'contradiction': 54.1, 'neutral': 40.6, 'entailment': 5.2}, {'contradiction': 7.1, 'neutral': 72.9, 'entailment': 20.0}, {'contradiction': 60.7, 'neutral': 39.3, 'entailment': 0.0}, {'contradiction': 44.2, 'neutral': 55.5, 'entailment': 0.3}, {'contradiction': 6.5, 'neutral': 91.9, 'entailment': 1.6}, {'contradiction': 85.2, 'neutral': 14.7, 'entailment': 0.1}, {'contradiction': 1.2, 'neutral': 62.9, 'entailment': 35.9}]"
5,The fact that transgender people need medical treatment for their condition tells it all.  Normal people come either male or female and require no medical treatment to stay that way.,0.7,bias,transgenders,lgbtq,prejudice against transgenders,"['entailment', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'entailment']","[{'contradiction': 0.6, 'neutral': 2.9, 'entailment': 96.5}, {'contradiction': 4.0, 'neutral': 95.9, 'entailment': 0.1}, {'contradiction': 22.4, 'neutral': 77.5, 'entailment': 0.0}, {'contradiction': 64.9, 'neutral': 34.8, 'entailment': 0.4}, {'contradiction': 0.1, 'neutral': 99.1, 'entailment': 0.8}, {'contradiction': 78.4, 'neutral': 21.4, 'entailment': 0.2}, {'contradiction': 98.1, 'neutral': 1.8, 'entailment': 0.1}, {'contradiction': 15.6, 'neutral': 84.3, 'entailment': 0.1}, {'contradiction': 83.4, 'neutral': 15.2, 'entailment': 1.3}, {'contradiction': 1.9, 'neutral': 81.7, 'entailment': 16.4}, {'contradiction': 21.2, 'neutral': 78.8, 'entailment': 0.0}, {'contradiction': 0.9, 'neutral': 56.8, 'entailment': 42.2}, {'contradiction': 21.4, 'neutral': 78.5, 'entailment': 0.1}, {'contradiction': 82.3, 'neutral': 17.6, 'entailment': 0.0}, {'contradiction': 0.4, 'neutral': 30.9, 'entailment': 68.7}]"
6,The gays need colonoscopy.,0.685714286,bias,gays,lgbtq,prejudice against gays,"['entailment', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment']","[{'contradiction': 0.0, 'neutral': 10.3, 'entailment': 89.7}, {'contradiction': 5.6, 'neutral': 93.7, 'entailment': 0.7}, {'contradiction': 5.3, 'neutral': 94.5, 'entailment': 0.2}, {'contradiction': 62.7, 'neutral': 33.1, 'entailment': 4.2}, {'contradiction': 0.1, 'neutral': 93.3, 'entailment': 6.6}, {'contradiction': 86.5, 'neutral': 10.4, 'entailment': 3.1}, {'contradiction': 99.3, 'neutral': 0.5, 'entailment': 0.2}, {'contradiction': 0.5, 'neutral': 98.7, 'entailment': 0.8}, {'contradiction': 92.8, 'neutral': 6.1, 'entailment': 1.1}, {'contradiction': 3.0, 'neutral': 77.9, 'entailment': 19.0}, {'contradiction': 8.0, 'neutral': 91.9, 'entailment': 0.1}, {'contradiction': 1.4, 'neutral': 57.3, 'entailment': 41.3}, {'contradiction': 2.9, 'neutral': 94.7, 'entailment': 2.4}, {'contradiction': 8.9, 'neutral': 90.1, 'entailment': 1.0}, {'contradiction': 0.4, 'neutral': 46.9, 'entailment': 52.7}]"
7,actually many would love to see a statue of Joseph McCarthy.   he got rid of all those blood stained commies and queers,0.6,bias,queers,lgbtq,prejudice against queers,"['entailment', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 7.6, 'neutral': 42.8, 'entailment': 49.6}, {'contradiction': 5.8, 'neutral': 93.8, 'entailment': 0.3}, {'contradiction': 80.1, 'neutral': 19.8, 'entailment': 0.1}, {'contradiction': 80.3, 'neutral': 18.9, 'entailment': 0.8}, {'contradiction': 3.4, 'neutral': 84.6, 'entailment': 12.0}, {'contradiction': 82.2, 'neutral': 17.5, 'entailment': 0.3}, {'contradiction': 78.9, 'neutral': 20.5, 'entailment': 0.5}, {'contradiction': 9.7, 'neutral': 72.9, 'entailment': 17.4}, {'contradiction': 49.5, 'neutral': 49.3, 'entailment': 1.2}, {'contradiction': 22.9, 'neutral': 54.4, 'entailment': 22.6}, {'contradiction': 42.1, 'neutral': 57.8, 'entailment': 0.1}, {'contradiction': 36.9, 'neutral': 62.8, 'entailment': 0.3}, {'contradiction': 36.6, 'neutral': 53.9, 'entailment': 9.5}, {'contradiction': 90.0, 'neutral': 9.8, 'entailment': 0.2}, {'contradiction': 11.7, 'neutral': 70.1, 'entailment': 18.3}]"
8,Pathetic Methodists.  Lesbians gone mad.  Penis envy everywhere.  They are on a sinking ship and they continue to punch holes in the side.  What can we say.  If contraception is ok then anything goes.   Romans one.  Wow.  Hate to be them when judgment day comes.,0.557142857,bias,lesbians,lgbtq,prejudice against lesbbians,"['entailment', 'neutral', 'neutral', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment']","[{'contradiction': 0.8, 'neutral': 19.8, 'entailment': 79.4}, {'contradiction': 2.5, 'neutral': 97.2, 'entailment': 0.3}, {'contradiction': 1.0, 'neutral': 97.1, 'entailment': 1.9}, {'contradiction': 72.2, 'neutral': 25.6, 'entailment': 2.2}, {'contradiction': 0.2, 'neutral': 41.4, 'entailment': 58.4}, {'contradiction': 60.7, 'neutral': 38.9, 'entailment': 0.4}, {'contradiction': 89.1, 'neutral': 10.6, 'entailment': 0.3}, {'contradiction': 4.9, 'neutral': 70.3, 'entailment': 24.8}, {'contradiction': 63.7, 'neutral': 26.3, 'entailment': 10.0}, {'contradiction': 3.3, 'neutral': 39.9, 'entailment': 56.8}, {'contradiction': 14.1, 'neutral': 85.8, 'entailment': 0.1}, {'contradiction': 4.9, 'neutral': 77.2, 'entailment': 17.8}, {'contradiction': 6.8, 'neutral': 84.3, 'entailment': 8.9}, {'contradiction': 9.6, 'neutral': 75.2, 'entailment': 15.2}, {'contradiction': 1.7, 'neutral': 29.2, 'entailment': 69.1}]"
9,Overqualified cause hes black and hispanic. Guess if he was gay and  trans he would really be a shoo in.,0.65,bias,"blacks,gays","race,lgbtq",prejudice against blacks and gays,"['entailment', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 0.2, 'neutral': 4.8, 'entailment': 95.0}, {'contradiction': 24.0, 'neutral': 75.9, 'entailment': 0.1}, {'contradiction': 13.2, 'neutral': 86.7, 'entailment': 0.1}, {'contradiction': 80.3, 'neutral': 19.5, 'entailment': 0.2}, {'contradiction': 0.1, 'neutral': 93.8, 'entailment': 6.1}, {'contradiction': 95.5, 'neutral': 4.4, 'entailment': 0.1}, {'contradiction': 86.9, 'neutral': 12.7, 'entailment': 0.4}, {'contradiction': 4.3, 'neutral': 95.2, 'entailment': 0.5}, {'contradiction': 50.0, 'neutral': 27.8, 'entailment': 22.2}, {'contradiction': 3.4, 'neutral': 94.2, 'entailment': 2.4}, {'contradiction': 74.9, 'neutral': 25.1, 'entailment': 0.0}, {'contradiction': 30.0, 'neutral': 69.8, 'entailment': 0.2}, {'contradiction': 43.6, 'neutral': 56.2, 'entailment': 0.2}, {'contradiction': 95.5, 'neutral': 4.5, 'entailment': 0.1}, {'contradiction': 0.6, 'neutral': 58.5, 'entailment': 40.8}]"
