,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
2988,this is indoctrination 101 as if racism doesnt happen from the left or black community no never  god help this young woman to deal with the brain washing bs the lunatic left is doing to her.,0.285714286,neutral,,none,,contradiction,"[4.164308071136475, -2.5936896800994873, -1.4194955825805664]"
1332,If you are a mainreader of the HuffingGlue Post youd believe such trash. Look at countless online videos that the Media refuses to publish. Youll see the rabid violent zealous hatred of the crazy leftist regressive socalled social justice warriors. When called to back up their claims that Trump is racistthey CANT do it. They just then go on to a frustrated namecalling rant against the person questioning them. Its not racist to want to protect your country. Trump only talked about deporting ILLEGAL Aliens. NOT all Mexicans. And as far as Muslims go.......they are a bigoted sexist homophobic hategroup after all....,0.590909091,bias,muslims,religion,prejudice against muslims,neutral,"[-0.13036203384399414, -2.427354335784912, 2.225299835205078]"
3032,Who cares if women march to protest Trump becoming 45th US President??  Brainless act  by silly women with nothing important to do with their time ,0.525,bias,women,gender,prejudice against women,neutral,"[-1.8687688112258911, -0.32669663429260254, 1.7807270288467407]"
2910,Canada is an international embarrassment.,0.5,bias,canadians,race,prejudice against canada,neutral,"[-1.6962312459945679, -0.41719192266464233, 1.6881684064865112]"
1716,Putting a black in charge to fix the corruption of whites this is lame seriously.,0.7375,bias,blacks,race,prejudice against blacks,neutral,"[-1.580820083618164, -0.4130121171474457, 1.6079128980636597]"
2187,WHITE LIVES MATTER NO JUSTICE NO PEACE,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.186238169670105, 0.25921130180358887, 0.5314378142356873]"
584,NO NO NO NO NO You cannot call Muslims innocent and nothing to so with terrorism then not do the same here. We will speak out harshly against Islam. Arrest me now scum Pay me later for breaching my speech rights.,0.6375,bias,muslims,religion,prejudice against muslims,neutral,"[-1.1716828346252441, 0.3265288770198822, 0.5267167687416077]"
1401,Got your drift Jay Bob Moslems will never be as good as Christians or Jews and they  must always must be seen as inferior or subhuman or inhuman. Islam is a religion that will never have your respect. Youre coming across loud and clear.,0.936363636,bias,muslims,religion,prejudice against muslims,entailment,"[-2.8764255046844482, 1.8015764951705933, 0.5110636353492737]"
2005,taliban is you nigga,0.771428571,bias,blacks,race,prejudice against blacks,entailment,"[-1.8066493272781372, 0.8166456818580627, 0.5812901258468628]"
1338,They have no interest in improving it.  They are against government  involvement except Medicare and Medicare part D for Drugs which was a Bush program and particularly are opposed to a system put in place by Democrats lead by a black guy they hated.,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-1.8818747997283936, -0.23037737607955933, 1.7122600078582764]"
