,comment_text,identity_attack_x,bias,target,category,rationale,labels,probabilities
0,The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,0.5875,bias,muslims,religion,prejudice against muslims,"['entailment', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction']","[{'contradiction': 20.3, 'neutral': 38.9, 'entailment': 40.8}, {'contradiction': 94.6, 'neutral': 5.0, 'entailment': 0.4}, {'contradiction': 88.6, 'neutral': 10.8, 'entailment': 0.6}, {'contradiction': 90.2, 'neutral': 8.6, 'entailment': 1.3}, {'contradiction': 51.9, 'neutral': 38.0, 'entailment': 10.1}, {'contradiction': 79.2, 'neutral': 17.1, 'entailment': 3.8}, {'contradiction': 51.8, 'neutral': 46.2, 'entailment': 2.0}, {'contradiction': 63.3, 'neutral': 33.9, 'entailment': 2.8}, {'contradiction': 48.8, 'neutral': 34.5, 'entailment': 16.7}, {'contradiction': 18.9, 'neutral': 28.6, 'entailment': 52.6}, {'contradiction': 18.3, 'neutral': 78.5, 'entailment': 3.2}, {'contradiction': 34.5, 'neutral': 64.3, 'entailment': 1.3}, {'contradiction': 5.4, 'neutral': 82.5, 'entailment': 12.1}, {'contradiction': 1.2, 'neutral': 25.6, 'entailment': 73.3}, {'contradiction': 50.9, 'neutral': 47.2, 'entailment': 1.9}]"
1,Muslim women in Canada are cast as the blackest of political demons the most frightening of ghosts.   My goodness hyperbole much?,1.0,bias,"muslims,women","religion,gender",prejudice against muslim women,"['neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'entailment', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction']","[{'contradiction': 2.6, 'neutral': 83.4, 'entailment': 14.0}, {'contradiction': 83.6, 'neutral': 15.2, 'entailment': 1.2}, {'contradiction': 74.1, 'neutral': 24.7, 'entailment': 1.3}, {'contradiction': 21.5, 'neutral': 75.5, 'entailment': 3.0}, {'contradiction': 90.9, 'neutral': 6.4, 'entailment': 2.7}, {'contradiction': 0.7, 'neutral': 3.0, 'entailment': 96.3}, {'contradiction': 35.3, 'neutral': 64.3, 'entailment': 0.4}, {'contradiction': 80.5, 'neutral': 19.0, 'entailment': 0.5}, {'contradiction': 37.8, 'neutral': 40.5, 'entailment': 21.7}, {'contradiction': 42.0, 'neutral': 32.9, 'entailment': 25.1}, {'contradiction': 31.0, 'neutral': 68.7, 'entailment': 0.3}, {'contradiction': 40.8, 'neutral': 59.0, 'entailment': 0.2}, {'contradiction': 25.0, 'neutral': 71.1, 'entailment': 3.9}, {'contradiction': 1.7, 'neutral': 14.6, 'entailment': 83.7}, {'contradiction': 47.0, 'neutral': 46.7, 'entailment': 6.3}]"
2,here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,0.7125,bias,muslims,religion,prejudice against muslims,"['entailment', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'entailment', 'entailment', 'neutral']","[{'contradiction': 8.5, 'neutral': 10.6, 'entailment': 81.0}, {'contradiction': 95.6, 'neutral': 4.1, 'entailment': 0.3}, {'contradiction': 84.3, 'neutral': 15.5, 'entailment': 0.3}, {'contradiction': 64.7, 'neutral': 30.7, 'entailment': 4.6}, {'contradiction': 39.8, 'neutral': 54.1, 'entailment': 6.1}, {'contradiction': 58.3, 'neutral': 34.5, 'entailment': 7.2}, {'contradiction': 12.0, 'neutral': 86.0, 'entailment': 2.0}, {'contradiction': 30.5, 'neutral': 55.8, 'entailment': 13.6}, {'contradiction': 73.4, 'neutral': 22.2, 'entailment': 4.4}, {'contradiction': 35.1, 'neutral': 22.1, 'entailment': 42.8}, {'contradiction': 14.5, 'neutral': 84.4, 'entailment': 1.0}, {'contradiction': 17.9, 'neutral': 81.3, 'entailment': 0.8}, {'contradiction': 0.4, 'neutral': 21.1, 'entailment': 78.5}, {'contradiction': 0.7, 'neutral': 17.3, 'entailment': 82.0}, {'contradiction': 14.4, 'neutral': 82.7, 'entailment': 2.9}]"
3,Americans know something Canadians dont. No one really wants to look at a Muslim woman.,1.0,bias,"muslims,women","religion,gender",prejudice against muslim women,"['neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[{'contradiction': 34.9, 'neutral': 55.6, 'entailment': 9.5}, {'contradiction': 93.9, 'neutral': 5.8, 'entailment': 0.3}, {'contradiction': 54.5, 'neutral': 43.2, 'entailment': 2.3}, {'contradiction': 19.9, 'neutral': 70.9, 'entailment': 9.2}, {'contradiction': 41.8, 'neutral': 51.6, 'entailment': 6.6}, {'contradiction': 7.2, 'neutral': 91.9, 'entailment': 0.9}, {'contradiction': 7.5, 'neutral': 90.8, 'entailment': 1.7}, {'contradiction': 78.6, 'neutral': 20.8, 'entailment': 0.6}, {'contradiction': 51.1, 'neutral': 28.6, 'entailment': 20.3}, {'contradiction': 24.8, 'neutral': 21.4, 'entailment': 53.8}, {'contradiction': 10.1, 'neutral': 89.0, 'entailment': 1.0}, {'contradiction': 12.6, 'neutral': 86.6, 'entailment': 0.8}, {'contradiction': 8.0, 'neutral': 91.3, 'entailment': 0.8}, {'contradiction': 1.4, 'neutral': 87.8, 'entailment': 10.9}, {'contradiction': 29.3, 'neutral': 69.7, 'entailment': 1.0}]"
4,Richard your logic is very twisted if you believe that Muslims in France support ISIS. They are also victims of every terrorist attack because it increases the bigotry towards innocent Muslims. ISIS absolutely wants LePen to get elected for precisely the reason I stated. A weaker Europe serves their interests.  ISIS does not in any way represent the vast majority of Muslims by the way.  Youve chosen the wrong enemy.,0.6,bias,muslims,religion,prejudice against muslims,"['entailment', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'neutral', 'entailment', 'entailment', 'contradiction']","[{'contradiction': 5.0, 'neutral': 7.0, 'entailment': 88.0}, {'contradiction': 72.1, 'neutral': 21.9, 'entailment': 5.9}, {'contradiction': 87.1, 'neutral': 12.0, 'entailment': 0.8}, {'contradiction': 20.4, 'neutral': 49.2, 'entailment': 30.4}, {'contradiction': 62.9, 'neutral': 32.8, 'entailment': 4.3}, {'contradiction': 25.5, 'neutral': 44.8, 'entailment': 29.7}, {'contradiction': 13.0, 'neutral': 83.1, 'entailment': 3.9}, {'contradiction': 46.2, 'neutral': 43.1, 'entailment': 10.7}, {'contradiction': 49.6, 'neutral': 34.5, 'entailment': 15.9}, {'contradiction': 36.6, 'neutral': 14.5, 'entailment': 48.9}, {'contradiction': 26.4, 'neutral': 72.8, 'entailment': 0.7}, {'contradiction': 13.2, 'neutral': 85.5, 'entailment': 1.2}, {'contradiction': 3.1, 'neutral': 16.3, 'entailment': 80.6}, {'contradiction': 1.9, 'neutral': 18.1, 'entailment': 80.0}, {'contradiction': 51.1, 'neutral': 39.2, 'entailment': 9.7}]"
5,Over a billion Muslims in the world...virtually all gun massacres in the USA are by teenaged white boys.  Did you have a point?   Hmmm....,0.6,bias,"muslims,whites","religion,race",prejudice against muslims and whites,"['entailment', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[{'contradiction': 20.1, 'neutral': 28.6, 'entailment': 51.4}, {'contradiction': 88.2, 'neutral': 11.5, 'entailment': 0.3}, {'contradiction': 81.1, 'neutral': 18.6, 'entailment': 0.2}, {'contradiction': 24.9, 'neutral': 74.6, 'entailment': 0.4}, {'contradiction': 71.3, 'neutral': 21.9, 'entailment': 6.8}, {'contradiction': 77.3, 'neutral': 19.5, 'entailment': 3.2}, {'contradiction': 17.1, 'neutral': 82.6, 'entailment': 0.2}, {'contradiction': 72.6, 'neutral': 26.6, 'entailment': 0.9}, {'contradiction': 48.2, 'neutral': 44.8, 'entailment': 7.0}, {'contradiction': 6.2, 'neutral': 38.3, 'entailment': 55.4}, {'contradiction': 3.0, 'neutral': 96.3, 'entailment': 0.6}, {'contradiction': 27.7, 'neutral': 71.7, 'entailment': 0.6}, {'contradiction': 6.6, 'neutral': 58.6, 'entailment': 34.9}, {'contradiction': 1.5, 'neutral': 51.1, 'entailment': 47.4}, {'contradiction': 39.7, 'neutral': 59.2, 'entailment': 1.1}]"
6,yes I have seen this and it is not a lie every muslim takes a vow to kill,0.7,bias,muslims,religion,prejudice against muslims,"['entailment', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral']","[{'contradiction': 0.5, 'neutral': 12.2, 'entailment': 87.3}, {'contradiction': 91.5, 'neutral': 8.5, 'entailment': 0.1}, {'contradiction': 77.1, 'neutral': 22.8, 'entailment': 0.1}, {'contradiction': 79.3, 'neutral': 20.6, 'entailment': 0.1}, {'contradiction': 10.4, 'neutral': 75.6, 'entailment': 14.0}, {'contradiction': 22.7, 'neutral': 60.7, 'entailment': 16.6}, {'contradiction': 12.3, 'neutral': 87.6, 'entailment': 0.1}, {'contradiction': 57.4, 'neutral': 42.2, 'entailment': 0.5}, {'contradiction': 60.5, 'neutral': 34.2, 'entailment': 5.3}, {'contradiction': 24.8, 'neutral': 53.0, 'entailment': 22.2}, {'contradiction': 7.4, 'neutral': 92.3, 'entailment': 0.3}, {'contradiction': 17.4, 'neutral': 82.3, 'entailment': 0.3}, {'contradiction': 0.2, 'neutral': 15.7, 'entailment': 84.1}, {'contradiction': 1.0, 'neutral': 58.2, 'entailment': 40.8}, {'contradiction': 39.2, 'neutral': 59.1, 'entailment': 1.7}]"
7,Well said  This understanding is sadly missing from popular religion in the U.S. and the Evangelicals who promote uninformed civil religion rather than Christian discipleship.,0.5,bias,christians,religion,prejudiced against christians,"['neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']","[{'contradiction': 43.2, 'neutral': 55.8, 'entailment': 1.0}, {'contradiction': 96.1, 'neutral': 3.7, 'entailment': 0.1}, {'contradiction': 94.1, 'neutral': 5.6, 'entailment': 0.3}, {'contradiction': 89.4, 'neutral': 10.2, 'entailment': 0.4}, {'contradiction': 90.2, 'neutral': 9.2, 'entailment': 0.6}, {'contradiction': 16.9, 'neutral': 82.4, 'entailment': 0.6}, {'contradiction': 57.7, 'neutral': 41.8, 'entailment': 0.5}, {'contradiction': 83.8, 'neutral': 15.4, 'entailment': 0.9}, {'contradiction': 38.0, 'neutral': 53.5, 'entailment': 8.5}, {'contradiction': 49.3, 'neutral': 23.9, 'entailment': 26.8}, {'contradiction': 12.9, 'neutral': 86.7, 'entailment': 0.3}, {'contradiction': 24.1, 'neutral': 75.7, 'entailment': 0.2}, {'contradiction': 90.6, 'neutral': 9.0, 'entailment': 0.5}, {'contradiction': 12.5, 'neutral': 82.3, 'entailment': 5.2}, {'contradiction': 38.7, 'neutral': 60.0, 'entailment': 1.3}]"
8,Why can Muslims not stay in Muslim countries?,0.8,bias,muslims,religion,prejudice towards muslims,"['neutral', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']","[{'contradiction': 24.4, 'neutral': 56.3, 'entailment': 19.3}, {'contradiction': 78.2, 'neutral': 18.8, 'entailment': 3.1}, {'contradiction': 91.2, 'neutral': 7.8, 'entailment': 0.9}, {'contradiction': 1.0, 'neutral': 12.7, 'entailment': 86.2}, {'contradiction': 71.3, 'neutral': 26.5, 'entailment': 2.2}, {'contradiction': 42.4, 'neutral': 53.7, 'entailment': 4.0}, {'contradiction': 81.9, 'neutral': 16.1, 'entailment': 2.0}, {'contradiction': 54.3, 'neutral': 44.7, 'entailment': 1.1}, {'contradiction': 43.6, 'neutral': 48.0, 'entailment': 8.4}, {'contradiction': 14.3, 'neutral': 41.3, 'entailment': 44.4}, {'contradiction': 55.9, 'neutral': 38.3, 'entailment': 5.8}, {'contradiction': 27.6, 'neutral': 71.0, 'entailment': 1.4}, {'contradiction': 12.7, 'neutral': 86.4, 'entailment': 1.0}, {'contradiction': 10.3, 'neutral': 74.3, 'entailment': 15.4}, {'contradiction': 43.9, 'neutral': 53.5, 'entailment': 2.6}]"
9,Exactly the right wing Christians in Canada are just are radical as the Muslims in the middle east. Canadians have been repressed with this endless shaming game of the morally superior religious folks.,0.8,bias,"christians,muslims",religion,prejudice against christians and muslims,"['neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[{'contradiction': 21.9, 'neutral': 64.1, 'entailment': 14.0}, {'contradiction': 94.4, 'neutral': 4.9, 'entailment': 0.7}, {'contradiction': 91.5, 'neutral': 7.3, 'entailment': 1.1}, {'contradiction': 41.5, 'neutral': 56.6, 'entailment': 1.9}, {'contradiction': 67.3, 'neutral': 25.4, 'entailment': 7.3}, {'contradiction': 20.4, 'neutral': 68.4, 'entailment': 11.2}, {'contradiction': 22.3, 'neutral': 77.1, 'entailment': 0.6}, {'contradiction': 82.8, 'neutral': 15.9, 'entailment': 1.2}, {'contradiction': 79.0, 'neutral': 8.2, 'entailment': 12.8}, {'contradiction': 18.2, 'neutral': 11.3, 'entailment': 70.5}, {'contradiction': 14.4, 'neutral': 84.8, 'entailment': 0.8}, {'contradiction': 21.9, 'neutral': 77.9, 'entailment': 0.2}, {'contradiction': 3.7, 'neutral': 60.0, 'entailment': 36.3}, {'contradiction': 9.1, 'neutral': 52.2, 'entailment': 38.7}, {'contradiction': 47.6, 'neutral': 50.2, 'entailment': 2.2}]"
