,Unnamed: 0,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
0,912,Who cares what this Mexican has to say.  Go back to Mexico.,0.685714286,bias,mexicans,race,prejudice against mexicans,entailment,"[-0.10874080657958984, -0.07951809465885162]"
1,204,There are 50 muslim countries in the world.   Why do muslims come here and impose their ways on honest citizens?  Wouldnt they be happier in a muslim country?  I dont go to Saudi Arabia and start lecturing them with my smug Canadian hypocrisys  would do the muslims feel the need to come here and lecture us?,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[0.031797949224710464, 0.15357083082199097]"
2,2253,Ah but you give the Globe too much credit.  This piece is very much along the lines that the Globe has been publishing of late.  Its a small minority of white women that seem hell bent on social engineering at all costs.  You dont see women doing startups.  Why not?  Too hard.  Theyd rather latch on to a growing established company and climb the corporate ladder.  Reminds of parasites.,0.5,bias,women,gender,prejudice against women,contradiction,"[0.21341481804847717, 0.05551759898662567]"
3,2006,What a bunch of stereotypes. Youd be yelling racism and bigotry at the equivalent about any nonwhite group.,0.280701754,neutral,,none,,entailment,"[0.11703236401081085, 0.1286114901304245]"
4,1828,so the black cop who shot this guy was a full fledged member of this nationwide white supremacist assassination force youve mentioned?  reminds me of clayton bigsby.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites,contradiction,"[0.030466504395008087, -0.10474983602762222]"
5,1143,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,entailment,"[-0.0209305789321661, 0.09904968738555908]"
6,839,When the black community accepts the fact they have a problem with their youth solutions can be found.,0.5,bias,blacks,race,prejudice against blacks,entailment,"[-0.07944504171609879, -0.04128856956958771]"
7,712,Nonwhites should be banned also.,0.73015873,bias,colored peaople,race,prejudice against colored people,entailment,"[0.00929966475814581, 0.044969409704208374]"
8,3456,End white racism and Ill stop talking about it. BTW that is a job for white people. The rest of us just have to survive you.,0.5,bias,whites,race,prejudice against whitess,contradiction,"[0.05533330887556076, -0.03714120760560036]"
9,260,Its OK a black man call you a white trash  but if you say they are black you get arrested for being a racist.  They pretend to brush it aside when ISIS killed innocent people and they are OK to let Muslim women wear Burqa on our streets but you wear a Great America hat you are fired. They dont respect democratic vote and pretend to embrace in democracy.  Fck all these liberals idiots they will turn your kids into Muslims one day.,0.685714286,bias,,religion,,entailment,"[0.11748948693275452, 0.2721359133720398]"
10,244,And for the record Mr. Hanson white Americans drink more alcohol drink alcohol more heavily and take more drugs  both prescription and illegal drugs including illegal prescription drugs  than any other ethnic group.   So you can just stop peddling that racist lie.,0.5,bias,whites,race,prejudice against whites,contradiction,"[0.26961439847946167, 0.01362420804798603]"
11,767,I have no issues with these types of individuals. However it is unfair to the genders that were born female. This transgender may be a female now in physical appearance but still maintains the strength of a male through,0.5,bias,transgenders,lgbtq,prejudice against transgenders,entailment,"[-0.07308991998434067, 0.0604543536901474]"
12,1791,Sharia law FGM child brides murdering gays and apostates etc. have no place in my Canada.,0.8,bias,muslims,religion,prejudice against islam,entailment,"[-0.06725303828716278, 0.014205904677510262]"
13,1905,I find Saudi to hold the no.1 spot on creating islamic terrorists.,0.631578947,bias,muslims,religion,prejudice against muslims,entailment,"[-0.022020235657691956, 0.0875539481639862]"
14,4139,I am reminded of Martin Luther Kings Letter From A Birmingham Jail. I am particularly reminded of this paragraph:  We know through painful experience that freedom is never voluntarily given by the oppressor it must be demanded by the oppressed. Frankly I have yet to engage in a direct action campaign that was well timed in the view of those who have not suffered unduly from the disease of segregation. For years now I have heard the word Wait It rings in the ear of every Negro with piercing familiarity. This Wait has almost always meant Never. We must come to see with one of our distinguished jurists that justice too long delayed is justice denied.  Substitute homosexual for Negro and it rings true in this situation.,0.7,neutral,,none,,entailment,"[0.035639721900224686, 0.06029112637042999]"
15,217,Sure are a lot of blacks in Anchorage terrorizing the community better call TRUMP,0.657142857,bias,blacks,race,prejudice against blacks,entailment,"[0.14848826825618744, 0.22152367234230042]"
16,1628,This is absurd and beyond insane. His parents and supporters encouraged him and Islam brainwashed him to be a killer.  They must pay  The Cdn taxpayers have nothing to do with his problems so why are they always paying for the stupid white people lack of common sense.,0.706896552,bias,"muslims,whites","religion,race",prejudice against muslims and prejudice agianst whites,entailment,"[-0.04250872880220413, 0.013824805617332458]"
17,3436,Statistics show blacks commit 6x the rate of murder of whites so.,0.714285714,bias,"blacks,whites",race,prejudice against blacks and towards whites,contradiction,"[0.04649735987186432, -0.1114838719367981]"
18,1805,I wish we could deport American Catholics who play censor on comboxes.     Censoring comments because you disagree with them....how incredibly lame.,0.614285714,bias,christians,religion,prejudice against christians,entailment,"[-0.04380948096513748, 0.05969458818435669]"
19,3679,What are you doing to stop the trash like McVeigh you know the homegrown Terrorist...since Trump is keeping the Muslims out you ought to have a plan to rid us of the American Terrorist...MAGA,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-0.027201374992728233, 0.0998753011226654]"
20,2278,Ah gee I thought I could get a job rounding up Mexicans and Muslims and putting them in boxcars. Promises of a police state crushedmaybe.,0.6,bias,muslims,religion,prejudice against muslims,contradiction,"[0.08261419832706451, 0.004090901464223862]"
21,53,I read on three different places on the internet that Nick Travis is a transgender bathroom checker vigilante. Its out there go do your own google search,0.25862069,neutral,,none,,contradiction,"[-0.03948670253157616, -0.068670354783535]"
22,1307,Almost as mendacious as literature from abortionists: an editorial talking about the irrelevance of procreation to sexuality that is captioned by a picture of a mother with a baby not two homosexuals engaged in sodomy.,0.9,bias,homosexuals,lgbtq,prejudice against homosexuals,contradiction,"[0.14098608493804932, -0.25669389963150024]"
23,3462,Yes if the Catholic Church were not so darned ... Catholic ... we could join the LDS and the Anglicans in changing dogma on the fly.  Some minor notes ... the committee discussing birth control was not granted any authority to approve or disapprove anything. It was supposed to be giving the Holy Father some pros and cons to consider. And its report was not for public consumption but was leaked.  When we talk about chance we mean if something is certain the probability is 1 and if absolutely positively cannot occur the probability is 0.  When you write During Vatican II the chance existed to change this ... were looking at 0.,0.5,neutral,,none,,contradiction,"[0.16481757164001465, -0.1015091985464096]"
24,2787,ISIS terrorists kill people who do not believe as they do. American neoNazis White Supremacists and the KKK also kill people who do not believe as they do.,0.6,bias,whites,race,prejudice against whites,entailment,"[0.028365565463900566, 0.21755194664001465]"
