,premise,hypothesis,label
0,The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,Members of a religion are a threat.,2
1,The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,Members of a religion should be excluded and marginalized.,2
2,The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,The integration of a religion should be avoided in a country or society.,2
3,Muslim women in Canada are cast as the blackest of political demons the most frightening of ghosts.   My goodness hyperbole much?,A religion or members of a religion are compared to devils or demons.,2
4,here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,Members of a religion are a threat.,2
5,here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,Members of a religion should be excluded and marginalized.,2
6,here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,A religion promotes violence or intolerance.,2
7,Americans know something Canadians dont. No one really wants to look at a Muslim woman.,Members of a religion should be excluded and marginalized.,2
8,yes I have seen this and it is not a lie every muslim takes a vow to kill,A religion promotes violence or intolerance.,2
9,yes I have seen this and it is not a lie every muslim takes a vow to kill,Members of a religion are a threat.,2
10,Well said  This understanding is sadly missing from popular religion in the U.S. and the Evangelicals who promote uninformed civil religion rather than Christian discipleship.,A religion is inferior when compared to another religion.,2
11,Why can Muslims not stay in Muslim countries?,Members of a religion should remain in their respective countries.,2
12,Why can Muslims not stay in Muslim countries?,Members of a religion should be excluded and marginalized.,2
13,Why can Muslims not stay in Muslim countries?,The integration of a religion should be avoided in a country or society.,2
14,Exactly the right wing Christians in Canada are just are radical as the Muslims in the middle east. Canadians have been repressed with this endless shaming game of the morally superior religious folks.,A religion promotes violence or intolerance.,2
15,Some Muslim terrorists are white converts. Why are you so obsessed with colour?,A religion promotes violence or intolerance.,2
16,Some Muslim terrorists are white converts. Why are you so obsessed with colour?,Members of a religion are a threat.,2
