,comment_text,identity_attack_x,bias,target,category,rationale,labels,probabilities
0,Its our police killing blacks  Why......why.......it has to be doesnt it?,0.625,bias,blacks,race,prejudice towards blacks,"['entailment', 'entailment', 'neutral', 'entailment', 'contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'entailment']","[{'contradiction': 0.7, 'neutral': 5.6, 'entailment': 93.7}, {'contradiction': 2.6, 'neutral': 31.0, 'entailment': 66.4}, {'contradiction': 41.6, 'neutral': 47.5, 'entailment': 10.9}, {'contradiction': 4.4, 'neutral': 10.3, 'entailment': 85.3}, {'contradiction': 97.7, 'neutral': 2.2, 'entailment': 0.1}, {'contradiction': 97.8, 'neutral': 2.2, 'entailment': 0.0}, {'contradiction': 3.0, 'neutral': 48.8, 'entailment': 48.1}, {'contradiction': 29.9, 'neutral': 41.2, 'entailment': 28.8}, {'contradiction': 86.9, 'neutral': 6.7, 'entailment': 6.4}, {'contradiction': 53.6, 'neutral': 45.0, 'entailment': 1.4}, {'contradiction': 2.2, 'neutral': 96.1, 'entailment': 1.7}, {'contradiction': 94.9, 'neutral': 4.3, 'entailment': 0.8}, {'contradiction': 58.2, 'neutral': 40.7, 'entailment': 1.1}, {'contradiction': 66.2, 'neutral': 16.8, 'entailment': 17.0}, {'contradiction': 4.7, 'neutral': 29.0, 'entailment': 66.3}]"
1,Nancy Pelosi is right. She is the top Democrat fundraiser so black liberal and transgender Democrats should best shut up and stop complaining. Its her party and she is the boss.,0.625,bias,"blacks,liberals,transgenders","race,political,lgbtq","prejudice towards blacks ,liberals,and transgenders","['neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction']","[{'contradiction': 23.0, 'neutral': 74.8, 'entailment': 2.2}, {'contradiction': 80.7, 'neutral': 18.5, 'entailment': 0.8}, {'contradiction': 91.5, 'neutral': 6.5, 'entailment': 1.9}, {'contradiction': 58.9, 'neutral': 35.0, 'entailment': 6.1}, {'contradiction': 60.7, 'neutral': 34.8, 'entailment': 4.5}, {'contradiction': 52.5, 'neutral': 45.8, 'entailment': 1.7}, {'contradiction': 14.1, 'neutral': 32.6, 'entailment': 53.3}, {'contradiction': 57.8, 'neutral': 34.3, 'entailment': 7.9}, {'contradiction': 56.6, 'neutral': 29.1, 'entailment': 14.2}, {'contradiction': 70.4, 'neutral': 24.7, 'entailment': 4.8}, {'contradiction': 12.9, 'neutral': 77.2, 'entailment': 9.9}, {'contradiction': 66.8, 'neutral': 14.6, 'entailment': 18.5}, {'contradiction': 3.0, 'neutral': 59.0, 'entailment': 38.0}, {'contradiction': 66.8, 'neutral': 20.5, 'entailment': 12.6}, {'contradiction': 60.9, 'neutral': 29.5, 'entailment': 9.6}]"
2,I agree that Lee was doing his duty and was an honourable man. However the guys trying to stop the removal of his statue arent interested in that they are interested in a form of white control of the South and having the black people put back in their places.,0.6,bias,"blacks,whites",race,prejudice against blacks and towards whites,"['entailment', 'neutral', 'contradiction', 'entailment', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction', 'entailment', 'contradiction', 'entailment']","[{'contradiction': 4.7, 'neutral': 35.6, 'entailment': 59.7}, {'contradiction': 13.0, 'neutral': 50.2, 'entailment': 36.8}, {'contradiction': 65.2, 'neutral': 26.8, 'entailment': 7.9}, {'contradiction': 4.8, 'neutral': 19.8, 'entailment': 75.4}, {'contradiction': 81.2, 'neutral': 17.6, 'entailment': 1.2}, {'contradiction': 11.4, 'neutral': 88.1, 'entailment': 0.5}, {'contradiction': 23.2, 'neutral': 47.6, 'entailment': 29.2}, {'contradiction': 74.5, 'neutral': 18.9, 'entailment': 6.6}, {'contradiction': 55.8, 'neutral': 10.8, 'entailment': 33.4}, {'contradiction': 45.4, 'neutral': 52.1, 'entailment': 2.5}, {'contradiction': 12.2, 'neutral': 85.1, 'entailment': 2.7}, {'contradiction': 90.9, 'neutral': 6.1, 'entailment': 3.0}, {'contradiction': 3.7, 'neutral': 14.1, 'entailment': 82.2}, {'contradiction': 78.5, 'neutral': 9.1, 'entailment': 12.4}, {'contradiction': 10.1, 'neutral': 24.7, 'entailment': 65.2}]"
3,and where did the father go? Im willing to bet he flew the koop like many black men in his situation,0.6,bias,"blacks,men","race,gender",prejudice against black men,"['entailment', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral']","[{'contradiction': 1.3, 'neutral': 22.2, 'entailment': 76.4}, {'contradiction': 6.9, 'neutral': 68.1, 'entailment': 25.0}, {'contradiction': 8.9, 'neutral': 56.5, 'entailment': 34.7}, {'contradiction': 17.4, 'neutral': 62.4, 'entailment': 20.2}, {'contradiction': 85.9, 'neutral': 13.5, 'entailment': 0.7}, {'contradiction': 53.9, 'neutral': 46.0, 'entailment': 0.1}, {'contradiction': 6.2, 'neutral': 66.5, 'entailment': 27.3}, {'contradiction': 72.6, 'neutral': 22.8, 'entailment': 4.6}, {'contradiction': 41.5, 'neutral': 46.6, 'entailment': 11.9}, {'contradiction': 48.2, 'neutral': 49.8, 'entailment': 2.0}, {'contradiction': 2.8, 'neutral': 96.4, 'entailment': 0.8}, {'contradiction': 93.7, 'neutral': 4.9, 'entailment': 1.4}, {'contradiction': 71.8, 'neutral': 25.3, 'entailment': 2.9}, {'contradiction': 92.5, 'neutral': 5.2, 'entailment': 2.2}, {'contradiction': 25.6, 'neutral': 44.4, 'entailment': 29.9}]"
4,People once chose to believe black humans were property. They minimized it in their minds to conceal and deal with the legal crime of their time.,0.5,bias,blacks,race,prejudice against blacks,"['entailment', 'neutral', 'entailment', 'entailment', 'contradiction', 'contradiction', 'entailment', 'entailment', 'entailment', 'neutral', 'neutral', 'entailment', 'contradiction', 'entailment', 'entailment']","[{'contradiction': 0.7, 'neutral': 5.5, 'entailment': 93.8}, {'contradiction': 8.6, 'neutral': 55.3, 'entailment': 36.1}, {'contradiction': 15.2, 'neutral': 10.6, 'entailment': 74.1}, {'contradiction': 15.9, 'neutral': 27.7, 'entailment': 56.3}, {'contradiction': 73.0, 'neutral': 25.9, 'entailment': 1.1}, {'contradiction': 56.3, 'neutral': 43.1, 'entailment': 0.6}, {'contradiction': 8.8, 'neutral': 38.7, 'entailment': 52.5}, {'contradiction': 25.0, 'neutral': 34.1, 'entailment': 40.9}, {'contradiction': 37.8, 'neutral': 9.3, 'entailment': 52.9}, {'contradiction': 41.3, 'neutral': 55.6, 'entailment': 3.1}, {'contradiction': 18.1, 'neutral': 79.8, 'entailment': 2.1}, {'contradiction': 32.1, 'neutral': 32.6, 'entailment': 35.3}, {'contradiction': 69.1, 'neutral': 27.0, 'entailment': 3.8}, {'contradiction': 27.3, 'neutral': 15.5, 'entailment': 57.2}, {'contradiction': 0.6, 'neutral': 8.9, 'entailment': 90.5}]"
5,An interesting situation America has  just chosen a president with the support of white supremacists Bannon puts them right in the White House and todays paper  carries a racist antiSemitic tirade by Richard Spencer the leader of the altright  And Jonah  Goldberg uses  his column today ranting about  his anger at liberals for exaggerating the extent of racism in America. Lugenpresse indeed.,0.5,bias,whites,race,prejudice against whites,"['entailment', 'neutral', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'entailment']","[{'contradiction': 1.1, 'neutral': 17.8, 'entailment': 81.1}, {'contradiction': 17.1, 'neutral': 46.5, 'entailment': 36.4}, {'contradiction': 63.3, 'neutral': 31.7, 'entailment': 5.0}, {'contradiction': 0.5, 'neutral': 16.6, 'entailment': 82.9}, {'contradiction': 91.9, 'neutral': 7.3, 'entailment': 0.8}, {'contradiction': 57.2, 'neutral': 42.5, 'entailment': 0.3}, {'contradiction': 1.4, 'neutral': 22.6, 'entailment': 76.0}, {'contradiction': 38.6, 'neutral': 45.4, 'entailment': 16.0}, {'contradiction': 18.5, 'neutral': 17.4, 'entailment': 64.1}, {'contradiction': 71.3, 'neutral': 27.0, 'entailment': 1.7}, {'contradiction': 10.3, 'neutral': 82.5, 'entailment': 7.2}, {'contradiction': 70.0, 'neutral': 25.9, 'entailment': 4.0}, {'contradiction': 80.4, 'neutral': 16.4, 'entailment': 3.2}, {'contradiction': 81.3, 'neutral': 9.4, 'entailment': 9.2}, {'contradiction': 2.1, 'neutral': 10.0, 'entailment': 87.9}]"
6,If you dont like it here go back to Africa or wherever you came or were taken from.  My ancestors in Eastern Europe were also slaves but instead of whining about it every day as an excuse for my laziness and n0t paying attention in school I have moved on.  I am in control of my life  not the past.  Time for people to grow up and live in the present.  BTW blacks in the US have it far better than blacks in an black run country in Africa.,0.7,bias,blacks,race,prejudice against blacks,"['entailment', 'contradiction', 'contradiction', 'entailment', 'entailment', 'neutral', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'entailment', 'contradiction', 'entailment']","[{'contradiction': 1.9, 'neutral': 28.8, 'entailment': 69.3}, {'contradiction': 55.7, 'neutral': 34.5, 'entailment': 9.8}, {'contradiction': 63.5, 'neutral': 27.9, 'entailment': 8.5}, {'contradiction': 29.5, 'neutral': 34.0, 'entailment': 36.6}, {'contradiction': 15.2, 'neutral': 14.9, 'entailment': 70.0}, {'contradiction': 23.5, 'neutral': 73.7, 'entailment': 2.8}, {'contradiction': 4.7, 'neutral': 41.8, 'entailment': 53.5}, {'contradiction': 70.4, 'neutral': 12.9, 'entailment': 16.7}, {'contradiction': 75.1, 'neutral': 6.8, 'entailment': 18.1}, {'contradiction': 71.0, 'neutral': 27.5, 'entailment': 1.5}, {'contradiction': 8.0, 'neutral': 88.2, 'entailment': 3.8}, {'contradiction': 68.7, 'neutral': 14.9, 'entailment': 16.4}, {'contradiction': 0.4, 'neutral': 3.3, 'entailment': 96.4}, {'contradiction': 81.0, 'neutral': 7.9, 'entailment': 11.1}, {'contradiction': 8.6, 'neutral': 17.5, 'entailment': 73.9}]"
7,Youre right black slavery and black discrimination by whites in America is excused.,0.5,bias,whites,race,prejudice against whites,"['entailment', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'entailment']","[{'contradiction': 0.3, 'neutral': 9.0, 'entailment': 90.7}, {'contradiction': 6.6, 'neutral': 77.6, 'entailment': 15.8}, {'contradiction': 85.4, 'neutral': 12.4, 'entailment': 2.1}, {'contradiction': 4.8, 'neutral': 67.2, 'entailment': 28.0}, {'contradiction': 94.2, 'neutral': 5.7, 'entailment': 0.1}, {'contradiction': 48.5, 'neutral': 51.3, 'entailment': 0.2}, {'contradiction': 13.5, 'neutral': 66.2, 'entailment': 20.3}, {'contradiction': 17.5, 'neutral': 50.2, 'entailment': 32.3}, {'contradiction': 53.5, 'neutral': 16.7, 'entailment': 29.8}, {'contradiction': 59.7, 'neutral': 39.1, 'entailment': 1.2}, {'contradiction': 3.1, 'neutral': 96.3, 'entailment': 0.7}, {'contradiction': 94.0, 'neutral': 3.5, 'entailment': 2.6}, {'contradiction': 44.3, 'neutral': 53.6, 'entailment': 2.2}, {'contradiction': 70.3, 'neutral': 9.7, 'entailment': 20.0}, {'contradiction': 2.2, 'neutral': 17.8, 'entailment': 80.0}]"
8,Black Lives Matter wait then what about Red White Yellow and Brown Lives? If blacks can say nigger in the white house then what the hell you doing taking my comments down? Get a pair nigga,0.787878788,bias,blacks,race,prejudice against blacks,"['entailment', 'entailment', 'contradiction', 'entailment', 'contradiction', 'contradiction', 'entailment', 'contradiction', 'entailment', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'entailment']","[{'contradiction': 3.4, 'neutral': 20.8, 'entailment': 75.8}, {'contradiction': 4.4, 'neutral': 27.7, 'entailment': 67.9}, {'contradiction': 52.3, 'neutral': 12.6, 'entailment': 35.1}, {'contradiction': 17.4, 'neutral': 20.8, 'entailment': 61.7}, {'contradiction': 98.8, 'neutral': 1.0, 'entailment': 0.1}, {'contradiction': 68.3, 'neutral': 31.1, 'entailment': 0.6}, {'contradiction': 2.2, 'neutral': 18.5, 'entailment': 79.3}, {'contradiction': 73.6, 'neutral': 15.4, 'entailment': 10.9}, {'contradiction': 32.3, 'neutral': 12.3, 'entailment': 55.4}, {'contradiction': 48.1, 'neutral': 44.3, 'entailment': 7.6}, {'contradiction': 5.7, 'neutral': 82.6, 'entailment': 11.7}, {'contradiction': 96.3, 'neutral': 2.1, 'entailment': 1.6}, {'contradiction': 83.5, 'neutral': 6.5, 'entailment': 10.0}, {'contradiction': 72.7, 'neutral': 4.9, 'entailment': 22.4}, {'contradiction': 1.8, 'neutral': 11.0, 'entailment': 87.2}]"
9,Hatred of those white supremacist nazis was present?  Oh no.  For shame.    Well thats a relief: now we know that the white supremacist nazis  those who hate them were equivalent.,0.696969697,bias,whites,race,prejudice against whites,"['entailment', 'entailment', 'contradiction', 'entailment', 'contradiction', 'neutral', 'entailment', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'entailment']","[{'contradiction': 0.9, 'neutral': 12.2, 'entailment': 86.9}, {'contradiction': 3.1, 'neutral': 46.5, 'entailment': 50.4}, {'contradiction': 68.4, 'neutral': 19.0, 'entailment': 12.6}, {'contradiction': 10.1, 'neutral': 39.2, 'entailment': 50.7}, {'contradiction': 89.1, 'neutral': 10.6, 'entailment': 0.4}, {'contradiction': 44.3, 'neutral': 54.5, 'entailment': 1.2}, {'contradiction': 1.4, 'neutral': 30.8, 'entailment': 67.7}, {'contradiction': 78.6, 'neutral': 9.9, 'entailment': 11.4}, {'contradiction': 93.1, 'neutral': 2.7, 'entailment': 4.3}, {'contradiction': 72.4, 'neutral': 25.4, 'entailment': 2.2}, {'contradiction': 24.2, 'neutral': 74.1, 'entailment': 1.7}, {'contradiction': 83.9, 'neutral': 12.5, 'entailment': 3.5}, {'contradiction': 80.9, 'neutral': 18.0, 'entailment': 1.1}, {'contradiction': 78.2, 'neutral': 10.6, 'entailment': 11.2}, {'contradiction': 5.4, 'neutral': 26.2, 'entailment': 68.4}]"
