,Unnamed: 0,comment_text,identity_attack_x,bias,target,category,rationale,labels,probabilities
0,0,Just another state ruled by Republican heavily governmentsubsidized farmers ranchers oil and gas living on their giant estates voting against all taxation while sucking up the government cash.  Fundamentalist christian theocrats ruling over every city county and state governing system as they ban abortions defund all social programs and maintain the working classes in indentured servitude.  All while proclaiming how friendly they all are except of course if you are nonwhite or refuse to believe.  The state was ruled by Anaconda from its inception and is now ruled by other Corporate dictators owning the majority  of the lands where Republicans reign supreme.  One small area around Missoula is a shrinking bastion of human rights.  The rest of the state is harcore racist bigotted and stupid.  Time for a Revolution to wrest the nation from these Republican fascists.,0.5,bias,conservatives,political,prejudice against conservativess and bigots,"['entailment', 'contradiction', 'entailment', 'entailment', 'entailment', 'entailment', 'entailment', 'contradiction', 'entailment', 'entailment', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment']","[{'contradiction': 27.7, 'neutral': 28.0, 'entailment': 44.3}, {'contradiction': 61.2, 'neutral': 20.7, 'entailment': 18.0}, {'contradiction': 16.6, 'neutral': 16.8, 'entailment': 66.6}, {'contradiction': 26.0, 'neutral': 20.4, 'entailment': 53.6}, {'contradiction': 1.8, 'neutral': 13.5, 'entailment': 84.7}, {'contradiction': 6.6, 'neutral': 17.2, 'entailment': 76.3}, {'contradiction': 1.6, 'neutral': 21.0, 'entailment': 77.4}, {'contradiction': 36.2, 'neutral': 32.9, 'entailment': 30.9}, {'contradiction': 1.3, 'neutral': 3.9, 'entailment': 94.8}, {'contradiction': 19.7, 'neutral': 28.0, 'entailment': 52.3}, {'contradiction': 1.0, 'neutral': 3.9, 'entailment': 95.1}, {'contradiction': 27.8, 'neutral': 42.8, 'entailment': 29.4}, {'contradiction': 0.8, 'neutral': 2.9, 'entailment': 96.3}, {'contradiction': 3.3, 'neutral': 4.6, 'entailment': 92.1}, {'contradiction': 7.4, 'neutral': 15.6, 'entailment': 77.1}]"
1,1,You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,0.277777778,bias,republicans,political,prejudice against republicans,"['contradiction', 'entailment', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction', 'neutral']","[{'contradiction': 72.2, 'neutral': 24.5, 'entailment': 3.3}, {'contradiction': 1.3, 'neutral': 11.7, 'entailment': 86.9}, {'contradiction': 9.0, 'neutral': 88.5, 'entailment': 2.5}, {'contradiction': 87.8, 'neutral': 4.5, 'entailment': 7.6}, {'contradiction': 0.5, 'neutral': 8.9, 'entailment': 90.6}, {'contradiction': 1.0, 'neutral': 53.5, 'entailment': 45.5}, {'contradiction': 1.3, 'neutral': 57.6, 'entailment': 41.1}, {'contradiction': 2.6, 'neutral': 84.0, 'entailment': 13.4}, {'contradiction': 0.3, 'neutral': 8.4, 'entailment': 91.3}, {'contradiction': 35.9, 'neutral': 47.8, 'entailment': 16.3}, {'contradiction': 0.1, 'neutral': 1.2, 'entailment': 98.8}, {'contradiction': 4.2, 'neutral': 79.1, 'entailment': 16.7}, {'contradiction': 2.2, 'neutral': 59.6, 'entailment': 38.3}, {'contradiction': 39.7, 'neutral': 35.4, 'entailment': 24.9}, {'contradiction': 2.7, 'neutral': 60.5, 'entailment': 36.8}]"
2,2,LW1. Im 30 and I dont drink do drugs or fall for the feminist crap that modern women are a part of. I also dont appreciate that you put all young women in this nutty modern woman category.,0.528571429,bias,feminists,political,prejudice against whites,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'entailment', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']","[{'contradiction': 57.6, 'neutral': 38.5, 'entailment': 3.9}, {'contradiction': 35.2, 'neutral': 47.4, 'entailment': 17.4}, {'contradiction': 7.4, 'neutral': 92.0, 'entailment': 0.7}, {'contradiction': 44.7, 'neutral': 29.8, 'entailment': 25.5}, {'contradiction': 2.8, 'neutral': 66.7, 'entailment': 30.5}, {'contradiction': 26.0, 'neutral': 35.2, 'entailment': 38.8}, {'contradiction': 31.0, 'neutral': 57.3, 'entailment': 11.6}, {'contradiction': 56.7, 'neutral': 39.9, 'entailment': 3.4}, {'contradiction': 33.9, 'neutral': 53.9, 'entailment': 12.2}, {'contradiction': 75.3, 'neutral': 21.2, 'entailment': 3.4}, {'contradiction': 48.6, 'neutral': 45.3, 'entailment': 6.1}, {'contradiction': 24.9, 'neutral': 70.6, 'entailment': 4.5}, {'contradiction': 18.7, 'neutral': 62.7, 'entailment': 18.6}, {'contradiction': 2.7, 'neutral': 49.8, 'entailment': 47.5}, {'contradiction': 79.1, 'neutral': 17.4, 'entailment': 3.5}]"
3,3,Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,0.5,bias,"conservatives,whites","political,race",prejudice against conservativess,"['contradiction', 'neutral', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'entailment', 'neutral', 'neutral', 'contradiction', 'contradiction']","[{'contradiction': 52.0, 'neutral': 43.4, 'entailment': 4.6}, {'contradiction': 6.8, 'neutral': 57.2, 'entailment': 36.0}, {'contradiction': 21.8, 'neutral': 64.2, 'entailment': 14.0}, {'contradiction': 80.6, 'neutral': 6.5, 'entailment': 13.0}, {'contradiction': 0.7, 'neutral': 18.9, 'entailment': 80.4}, {'contradiction': 36.0, 'neutral': 53.1, 'entailment': 10.9}, {'contradiction': 6.6, 'neutral': 62.3, 'entailment': 31.2}, {'contradiction': 20.4, 'neutral': 60.9, 'entailment': 18.7}, {'contradiction': 3.3, 'neutral': 25.8, 'entailment': 70.9}, {'contradiction': 39.1, 'neutral': 35.5, 'entailment': 25.4}, {'contradiction': 2.3, 'neutral': 18.3, 'entailment': 79.3}, {'contradiction': 16.5, 'neutral': 73.3, 'entailment': 10.2}, {'contradiction': 3.1, 'neutral': 56.6, 'entailment': 40.3}, {'contradiction': 85.9, 'neutral': 11.3, 'entailment': 2.8}, {'contradiction': 58.4, 'neutral': 36.0, 'entailment': 5.7}]"
4,4,Agreed on most points but...  Really I want liberals and progressives to murder their babies. I dont think they should have any children. They are diseased. They shouldnt be allowed anywhere near children.,0.2625,bias,"liberals,progressives",political,prejudice against liberals and progressives,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment', 'entailment', 'entailment', 'entailment', 'neutral', 'neutral', 'entailment', 'entailment', 'entailment', 'neutral']","[{'contradiction': 30.0, 'neutral': 49.3, 'entailment': 20.7}, {'contradiction': 1.6, 'neutral': 27.7, 'entailment': 70.7}, {'contradiction': 13.0, 'neutral': 67.4, 'entailment': 19.5}, {'contradiction': 29.4, 'neutral': 25.0, 'entailment': 45.6}, {'contradiction': 0.6, 'neutral': 32.6, 'entailment': 66.8}, {'contradiction': 11.9, 'neutral': 33.7, 'entailment': 54.5}, {'contradiction': 1.5, 'neutral': 44.0, 'entailment': 54.5}, {'contradiction': 1.9, 'neutral': 37.5, 'entailment': 60.6}, {'contradiction': 0.3, 'neutral': 18.0, 'entailment': 81.7}, {'contradiction': 20.5, 'neutral': 67.2, 'entailment': 12.3}, {'contradiction': 5.1, 'neutral': 69.9, 'entailment': 25.0}, {'contradiction': 0.0, 'neutral': 1.8, 'entailment': 98.2}, {'contradiction': 1.2, 'neutral': 20.0, 'entailment': 78.8}, {'contradiction': 13.6, 'neutral': 29.5, 'entailment': 56.8}, {'contradiction': 17.6, 'neutral': 61.8, 'entailment': 20.5}]"
5,5,When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,0.5,bias,"right wing,christians","political,religion",prejudice against right wing christians,"['contradiction', 'entailment', 'neutral', 'contradiction', 'entailment', 'neutral', 'entailment', 'neutral', 'entailment', 'contradiction', 'neutral', 'entailment', 'entailment', 'neutral', 'contradiction']","[{'contradiction': 48.6, 'neutral': 44.3, 'entailment': 7.1}, {'contradiction': 5.2, 'neutral': 46.5, 'entailment': 48.3}, {'contradiction': 15.5, 'neutral': 45.6, 'entailment': 39.0}, {'contradiction': 69.4, 'neutral': 16.2, 'entailment': 14.4}, {'contradiction': 1.1, 'neutral': 28.9, 'entailment': 70.0}, {'contradiction': 8.5, 'neutral': 59.5, 'entailment': 31.9}, {'contradiction': 1.1, 'neutral': 35.2, 'entailment': 63.7}, {'contradiction': 5.0, 'neutral': 67.8, 'entailment': 27.2}, {'contradiction': 1.2, 'neutral': 23.1, 'entailment': 75.7}, {'contradiction': 68.4, 'neutral': 17.4, 'entailment': 14.2}, {'contradiction': 17.2, 'neutral': 53.8, 'entailment': 29.0}, {'contradiction': 4.0, 'neutral': 18.9, 'entailment': 77.1}, {'contradiction': 0.8, 'neutral': 29.9, 'entailment': 69.4}, {'contradiction': 3.5, 'neutral': 51.4, 'entailment': 45.1}, {'contradiction': 45.0, 'neutral': 34.3, 'entailment': 20.6}]"
6,6,Its official. Canadians have been driven to mental illness.,0.621621622,bias,canadians,political,prejudice against canadians,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']","[{'contradiction': 49.9, 'neutral': 40.8, 'entailment': 9.3}, {'contradiction': 0.5, 'neutral': 95.6, 'entailment': 3.9}, {'contradiction': 0.2, 'neutral': 99.8, 'entailment': 0.0}, {'contradiction': 65.1, 'neutral': 22.7, 'entailment': 12.2}, {'contradiction': 14.4, 'neutral': 79.6, 'entailment': 6.0}, {'contradiction': 18.9, 'neutral': 63.4, 'entailment': 17.6}, {'contradiction': 69.1, 'neutral': 23.6, 'entailment': 7.4}, {'contradiction': 54.4, 'neutral': 43.5, 'entailment': 2.1}, {'contradiction': 15.7, 'neutral': 76.5, 'entailment': 7.8}, {'contradiction': 29.2, 'neutral': 64.1, 'entailment': 6.7}, {'contradiction': 22.2, 'neutral': 70.5, 'entailment': 7.4}, {'contradiction': 1.5, 'neutral': 30.5, 'entailment': 68.0}, {'contradiction': 0.9, 'neutral': 99.0, 'entailment': 0.2}, {'contradiction': 9.0, 'neutral': 70.5, 'entailment': 20.5}, {'contradiction': 12.3, 'neutral': 66.2, 'entailment': 21.5}]"
7,7,Any suggestions or are you blowing smoke. You and all your liberal retards are all the same.,0.262295082,bias,liberals,political,prejudice against liberals,"['entailment', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment', 'neutral', 'neutral', 'entailment', 'neutral', 'entailment', 'neutral', 'entailment', 'entailment', 'neutral']","[{'contradiction': 11.2, 'neutral': 33.9, 'entailment': 54.8}, {'contradiction': 16.4, 'neutral': 33.1, 'entailment': 50.5}, {'contradiction': 31.6, 'neutral': 61.2, 'entailment': 7.2}, {'contradiction': 15.2, 'neutral': 21.6, 'entailment': 63.2}, {'contradiction': 0.4, 'neutral': 13.8, 'entailment': 85.8}, {'contradiction': 4.5, 'neutral': 35.1, 'entailment': 60.4}, {'contradiction': 3.2, 'neutral': 71.7, 'entailment': 25.2}, {'contradiction': 10.4, 'neutral': 65.0, 'entailment': 24.7}, {'contradiction': 0.4, 'neutral': 18.7, 'entailment': 80.9}, {'contradiction': 25.3, 'neutral': 48.8, 'entailment': 25.9}, {'contradiction': 4.0, 'neutral': 41.2, 'entailment': 54.8}, {'contradiction': 2.8, 'neutral': 55.7, 'entailment': 41.5}, {'contradiction': 2.9, 'neutral': 19.1, 'entailment': 78.0}, {'contradiction': 8.5, 'neutral': 28.4, 'entailment': 63.1}, {'contradiction': 6.8, 'neutral': 66.6, 'entailment': 26.6}]"
8,8,The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,0.585714286,bias,"nazis,whites","political,race",nazis and whites are scums,"['neutral', 'entailment', 'contradiction', 'contradiction', 'entailment', 'neutral', 'entailment', 'entailment', 'entailment', 'entailment', 'entailment', 'neutral', 'neutral', 'entailment', 'entailment']","[{'contradiction': 23.6, 'neutral': 54.7, 'entailment': 21.7}, {'contradiction': 3.5, 'neutral': 40.4, 'entailment': 56.1}, {'contradiction': 44.1, 'neutral': 34.9, 'entailment': 21.0}, {'contradiction': 94.5, 'neutral': 3.2, 'entailment': 2.4}, {'contradiction': 3.6, 'neutral': 45.2, 'entailment': 51.2}, {'contradiction': 18.9, 'neutral': 60.6, 'entailment': 20.4}, {'contradiction': 0.1, 'neutral': 5.9, 'entailment': 94.0}, {'contradiction': 0.5, 'neutral': 41.3, 'entailment': 58.2}, {'contradiction': 0.0, 'neutral': 1.7, 'entailment': 98.3}, {'contradiction': 0.4, 'neutral': 4.5, 'entailment': 95.2}, {'contradiction': 0.1, 'neutral': 1.7, 'entailment': 98.2}, {'contradiction': 0.9, 'neutral': 59.3, 'entailment': 39.8}, {'contradiction': 20.3, 'neutral': 51.7, 'entailment': 28.0}, {'contradiction': 27.0, 'neutral': 30.8, 'entailment': 42.2}, {'contradiction': 0.6, 'neutral': 12.0, 'entailment': 87.4}]"
9,9,Yep black people. That is why they are uspet. Am y of those weirdoes gaslight the protesters saying thst what they feel and protest are not real. It is what abusive people do to keep their significant others close.  I shade conservative but I have zero problem with protest.  I wonder why these red blooded Americans support Trump who hates veterans and war heroes and is a draft dodger and a coward. I guess they are hypocrites and hopelessly stupid.,0.514285714,bias,conservatives,political,prejudice against conservatives,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment', 'entailment', 'entailment', 'neutral', 'entailment', 'contradiction', 'entailment', 'neutral', 'entailment', 'entailment', 'neutral']","[{'contradiction': 6.7, 'neutral': 43.8, 'entailment': 49.4}, {'contradiction': 15.0, 'neutral': 43.3, 'entailment': 41.7}, {'contradiction': 35.5, 'neutral': 52.1, 'entailment': 12.4}, {'contradiction': 28.0, 'neutral': 15.6, 'entailment': 56.4}, {'contradiction': 0.5, 'neutral': 5.4, 'entailment': 94.0}, {'contradiction': 19.3, 'neutral': 15.8, 'entailment': 64.9}, {'contradiction': 11.0, 'neutral': 43.1, 'entailment': 45.9}, {'contradiction': 34.2, 'neutral': 42.7, 'entailment': 23.2}, {'contradiction': 3.3, 'neutral': 19.6, 'entailment': 77.1}, {'contradiction': 54.8, 'neutral': 40.5, 'entailment': 4.7}, {'contradiction': 2.9, 'neutral': 21.0, 'entailment': 76.1}, {'contradiction': 15.1, 'neutral': 62.5, 'entailment': 22.4}, {'contradiction': 0.9, 'neutral': 11.2, 'entailment': 87.9}, {'contradiction': 1.5, 'neutral': 6.8, 'entailment': 91.7}, {'contradiction': 30.4, 'neutral': 38.6, 'entailment': 31.0}]"
