premise,hypothesis,label
The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,Members of a religion are a threat.,2
The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,Members of a religion should be excluded and marginalized.,2
The Brits wont learn until its to late.   Gotta get ride of all those Muslims.,The integration of a religion should be avoided in a country or society.,2
Muslim women in Canada are cast as the blackest of political demons the most frightening of ghosts.   My goodness hyperbole much?,A religion or members of a religion are compared to devils or demons.,2
here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,Members of a religion are a threat.,2
here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,Members of a religion should be excluded and marginalized.,2
here we have ANOTHER muslim kook shooting us and morons think trump is the problem for cleaning up our country. i cant wait till he starts exporting these freaks.,A religion promotes violence or intolerance.,2
Americans know something Canadians dont. No one really wants to look at a Muslim woman.,Members of a religion should be excluded and marginalized.,2
yes I have seen this and it is not a lie every muslim takes a vow to kill,A religion promotes violence or intolerance.,2
yes I have seen this and it is not a lie every muslim takes a vow to kill,Members of a religion are a threat.,2
Well said  This understanding is sadly missing from popular religion in the U.S. and the Evangelicals who promote uninformed civil religion rather than Christian discipleship.,A religion is inferior when compared to another religion.,2
Why can Muslims not stay in Muslim countries?,Members of a religion should remain in their respective countries.,2
Why can Muslims not stay in Muslim countries?,Members of a religion should be excluded and marginalized.,2
Why can Muslims not stay in Muslim countries?,The integration of a religion should be avoided in a country or society.,2
Exactly the right wing Christians in Canada are just are radical as the Muslims in the middle east. Canadians have been repressed with this endless shaming game of the morally superior religious folks.,A religion promotes violence or intolerance.,2
Some Muslim terrorists are white converts. Why are you so obsessed with colour?,A religion promotes violence or intolerance.,2
Some Muslim terrorists are white converts. Why are you so obsessed with colour?,Members of a religion are a threat.,2
well said Stubble  Hate the religion not the person.  Absolutely nothing wrong with hating a religion.  And heck nothing wrong with hating a hateful person.  But even though I hate Islam and other religions I cant think of any muslims I know that I dislike even.  They are individuals not defined in a black and white way by their religion or ancestry.,A religion should be discriminated against.,2
A significant proportion of Muslims agree with killing homosexuals Apostates and women who have sex out of wedlock.,A religion promotes violence or intolerance.,2
Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,A religion promotes violence or intolerance.,2
Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,Members of a religion should be excluded and marginalized.,2
trudeau just put a somali muslim in charge of immigrtion......  guess what?  terrorist attacks come to canada  we are screwed,A religion promotes violence or intolerance.,2
trudeau just put a somali muslim in charge of immigrtion......  guess what?  terrorist attacks come to canada  we are screwed,Members of a religion are not trustworthy or loyal.,2
