comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
We are still having their water put at risk in the Dakotas for some white mans profit. When white people complained about the same issue the natives were just not important enough to care about their water supply. Some of you white folks refuse to acknowledge how much you benefit from the rape robbery torture and murder done in your benefit. Many of you are quite proud in your self righteous ignorance. Or maybe you just dont think those lives matter. Or they both may be true.,0.6,bias,"whites,men","race,gender",prejudice against white men,neutral,"[-2.3930983543395996, -0.4223034977912903, 2.4950146675109863]"
This whole tragedy is the face and body and physical manifestation of fundamental Islam.  Striving to conquer subdue and to bring under control.  Do not blame the world.  Blame fundamental Islam for this tragedy.,0.5,bias,muslims,religion,prejudice against muslims,contradiction,"[1.9466774463653564, -2.520383834838867, 0.43967336416244507]"
Black on black killings.  Stop this madness man stop it now.  All of you criminalminded shooters.,0.706666667,bias,blacks,race,prejudice against blacks,neutral,"[-1.5511430501937866, 0.05538329854607582, 1.101628065109253]"
The world would be at peace with out islam.,0.833333333,bias,muslims,religion,prejudice against islam,neutral,"[-0.7674915790557861, -0.16422156989574432, 0.6099093556404114]"
Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-0.9954968094825745, -0.0055012390948832035, 0.6282382011413574]"
My wife is a white native Oregonian. Is that good enough for you? BTW when do I get to ask for proof of the good will of white folks. You seem to get that privilege with birth.,0.5,bias,whites,race,prejudice against whites,contradiction,"[0.8550529479980469, -1.6658670902252197, 0.6036276817321777]"
What a stupid comment.  Im sure there are STILL troops who would ban African Americans from serving.  Should we listen to them?  Dumb MAGAphant.,0.257575758,neutral,,none,,contradiction,"[4.368051528930664, -2.983713388442993, -1.1389009952545166]"
Unfortunately too many people see giving someone on the bottom rung of the ladder a leg up as somehow discriminating against someone higher on the ladder.  The sad thing is that many of those same people who see it as discrimination also are self identified Christians.  I wonder how they reconcile those 2 things.,0.5,bias,christians,religion,prejudice against christians,neutral,"[-1.2739697694778442, -0.9612354040145874, 1.7778071165084839]"
AntiMuslim protesters shout hateful rhetoric.  Muslim fundamentalist nutjobs murder innocent people.  Not quite the same thing is it?,0.8,bias,muslims,religion,prejudice against muslims,entailment,"[-2.3754496574401855, 1.4793511629104614, 0.3607325255870819]"
Like I said I cant stand the guy and dont watch his show.  Most of the local braddahs that tease me for being white come off misogynist also.  Watcha gonna do...?,0.6,bias,"whites,men","race,gender",prejudice against white men,neutral,"[-2.399184465408325, -0.15681414306163788, 2.1865153312683105]"
Who wants to bet they arrest a black guy for this?,0.6625,bias,blacks,race,prejudice towards blacks,neutral,"[-1.7847234010696411, 0.3179382383823395, 0.9956080913543701]"
How is it racist? Racist isnt even a very good word. I like race realist. Races are different its a fact. Nothing to do with hate or superiority. A minority population of about 7 commits most of the murders in Anchorage thats a fact and it happens to be the black race.,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-0.3823184370994568, -0.6289553642272949, 0.7058748602867126]"
Exactly right. Illegal immigrants which most of these foreigners are are a total burden on the South African society most of all the poor black people.,0.642857143,bias,blacks,race,prejudice against blacks,neutral,"[-1.2256709337234497, -0.656204342842102, 1.4895583391189575]"
Are you talking about that white guy who ran over people and killed a woman with his car? The one that the Chump doesnt know is a terrorist? Why dont you do him a favor and send him your dictionary.,0.289473684,neutral,,none,,contradiction,"[3.890153646469116, -2.7418301105499268, -1.0215193033218384]"
Jerry Brown the gay Governor should have called out the National Guard all Police Officers then brought out the water cannons flaten every one to the ground washed clear to the ocean any left shoot every one of these brain dead pukes This is America not Iraq. This is wrong.,0.55,bias,gays,lgbtq,prejudice towards gays,neutral,"[-1.5106472969055176, -0.325517475605011, 1.5107570886611938]"
PROGRESSIVES are a CLEAR and PRESENT DANGER to WHITES KILL a PROGRESSIVE and TWO NIGERS and 5 MUSLUMS to PROTECT HUMAN LIFE,0.714285714,bias,"blacks,muslims","race,religion",prejudice against blacks and musims and towards whites,entailment,"[-1.6450607776641846, 0.8332893252372742, 0.4017082452774048]"
