,Unnamed: 0,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
0,912,Who cares what this Mexican has to say.  Go back to Mexico.,0.685714286,bias,mexicans,race,prejudice against mexicans,entailment,"[-0.22820831835269928, 1.6272376775741577, -0.549156665802002]"
1,204,There are 50 muslim countries in the world.   Why do muslims come here and impose their ways on honest citizens?  Wouldnt they be happier in a muslim country?  I dont go to Saudi Arabia and start lecturing them with my smug Canadian hypocrisys  would do the muslims feel the need to come here and lecture us?,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-0.7926491498947144, 1.2756799459457397, -0.25198307633399963]"
2,2253,Ah but you give the Globe too much credit.  This piece is very much along the lines that the Globe has been publishing of late.  Its a small minority of white women that seem hell bent on social engineering at all costs.  You dont see women doing startups.  Why not?  Too hard.  Theyd rather latch on to a growing established company and climb the corporate ladder.  Reminds of parasites.,0.5,bias,women,gender,prejudice against women,entailment,"[-0.3325508236885071, 1.5522184371948242, -0.6651434302330017]"
3,2006,What a bunch of stereotypes. Youd be yelling racism and bigotry at the equivalent about any nonwhite group.,0.280701754,neutral,,none,,neutral,"[-2.759749174118042, 0.7046902179718018, 2.219555377960205]"
4,1828,so the black cop who shot this guy was a full fledged member of this nationwide white supremacist assassination force youve mentioned?  reminds me of clayton bigsby.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites,entailment,"[-2.15143084526062, 1.7143192291259766, 0.9716867804527283]"
5,1143,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.5834522247314453, 2.808291435241699, -0.25447019934654236]"
6,839,When the black community accepts the fact they have a problem with their youth solutions can be found.,0.5,bias,blacks,race,prejudice against blacks,entailment,"[0.9539616703987122, 1.6491857767105103, -1.6284403800964355]"
7,712,Nonwhites should be banned also.,0.73015873,bias,colored peaople,race,prejudice against colored people,entailment,"[-1.643531084060669, 1.4603211879730225, 0.5756875276565552]"
8,3456,End white racism and Ill stop talking about it. BTW that is a job for white people. The rest of us just have to survive you.,0.5,bias,whites,race,prejudice against whitess,neutral,"[-0.19975093007087708, -0.06748542189598083, 0.6071805357933044]"
9,260,Its OK a black man call you a white trash  but if you say they are black you get arrested for being a racist.  They pretend to brush it aside when ISIS killed innocent people and they are OK to let Muslim women wear Burqa on our streets but you wear a Great America hat you are fired. They dont respect democratic vote and pretend to embrace in democracy.  Fck all these liberals idiots they will turn your kids into Muslims one day.,0.685714286,bias,,religion,,neutral,"[-1.9997539520263672, 0.33338743448257446, 2.190751552581787]"
10,244,And for the record Mr. Hanson white Americans drink more alcohol drink alcohol more heavily and take more drugs  both prescription and illegal drugs including illegal prescription drugs  than any other ethnic group.   So you can just stop peddling that racist lie.,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.0062034130096436, 0.9486145377159119, 0.8194003105163574]"
